com.samsung.shealth.stress,1140029,7
update_time,pkg_name,time_offset,binning_data,max,start_time,comment,tag_id,deviceuuid,custom,end_time,datauuid,create_time,score,algorithm,min
2020. 07. 13. 오후 4:03:21,com.sec.android.app.shealth,32400000,34a3a118-bf7d-3d68-4b2f-fa8e687160b4.binning_data,91.000000,2020. 07. 13. 오후 3:00:00,,10011,Eb+lTn/Fs+,,2020. 07. 13. 오후 3:59:59,34a3a118-bf7d-3d68-4b2f-fa8e687160b4,2020. 07. 13. 오후 4:03:21,15.000000,1,0.000000,
2020. 07. 13. 오후 5:08:27,com.sec.android.app.shealth,32400000,16334f9f-25dd-3c01-4a95-c96c190066c7.binning_data,47.000000,2020. 07. 13. 오후 4:00:00,,10011,Eb+lTn/Fs+,,2020. 07. 13. 오후 4:59:59,16334f9f-25dd-3c01-4a95-c96c190066c7,2020. 07. 13. 오후 5:08:27,4.000000,1,0.000000,
2020. 07. 13. 오후 6:02:24,com.sec.android.app.shealth,32400000,9437ba7a-3db0-7222-2396-f0aa2bb84a92.binning_data,86.000000,2020. 07. 13. 오후 5:00:00,,10011,Eb+lTn/Fs+,,2020. 07. 13. 오후 5:59:59,9437ba7a-3db0-7222-2396-f0aa2bb84a92,2020. 07. 13. 오후 6:02:24,2.000000,1,0.000000,
2020. 07. 13. 오후 7:04:46,com.sec.android.app.shealth,32400000,dc707028-b133-d652-b661-d9c95320d3bf.binning_data,98.000000,2020. 07. 13. 오후 6:00:00,,10011,Eb+lTn/Fs+,,2020. 07. 13. 오후 6:59:59,dc707028-b133-d652-b661-d9c95320d3bf,2020. 07. 13. 오후 7:04:46,11.000000,1,0.000000,
2020. 07. 13. 오후 8:05:01,com.sec.android.app.shealth,32400000,695b9ee2-7275-5d1b-d8a2-ae7d590f8170.binning_data,98.000000,2020. 07. 13. 오후 7:00:00,,10011,Eb+lTn/Fs+,,2020. 07. 13. 오후 7:59:59,695b9ee2-7275-5d1b-d8a2-ae7d590f8170,2020. 07. 13. 오후 8:05:01,5.000000,1,0.000000,
2020. 07. 13. 오후 9:05:11,com.sec.android.app.shealth,32400000,efd4b43b-2b53-243d-0f1d-1c39906c8619.binning_data,100.000000,2020. 07. 13. 오후 8:00:00,,10011,Eb+lTn/Fs+,,2020. 07. 13. 오후 8:59:59,efd4b43b-2b53-243d-0f1d-1c39906c8619,2020. 07. 13. 오후 9:05:11,6.000000,1,0.000000,
2020. 07. 13. 오후 10:01:02,com.sec.android.app.shealth,32400000,68f9800e-3ce7-ae61-00e3-09dd209ba291.binning_data,100.000000,2020. 07. 13. 오후 9:00:00,,10011,Eb+lTn/Fs+,,2020. 07. 13. 오후 9:59:59,68f9800e-3ce7-ae61-00e3-09dd209ba291,2020. 07. 13. 오후 10:01:02,15.000000,1,0.000000,
2020. 07. 13. 오후 10:03:00,com.sec.android.app.shealth,32400000,b804dd64-b02b-f924-fafb-95a6b58cdb3d.binning_data,90.000000,2020. 07. 13. 오후 10:00:00,,10011,Eb+lTn/Fs+,,2020. 07. 13. 오후 10:03:00,b804dd64-b02b-f924-fafb-95a6b58cdb3d,2020. 07. 13. 오후 10:03:00,64.000000,1,4.000000,
2020. 07. 14. 오전 8:07:17,com.sec.android.app.shealth,32400000,82ac45f8-ed3d-2918-43a4-65c91f9375cb.binning_data,89.000000,2020. 07. 14. 오전 7:00:00,,10011,Eb+lTn/Fs+,,2020. 07. 14. 오전 7:59:59,82ac45f8-ed3d-2918-43a4-65c91f9375cb,2020. 07. 14. 오전 8:07:17,30.000000,1,5.000000,
2020. 07. 14. 오전 8:23:44,com.sec.android.app.shealth,32400000,7d727048-26f6-3137-e2b4-13434aeacfdd.binning_data,20.000000,2020. 07. 14. 오전 8:20:57,,10011,Eb+lTn/Fs+,,2020. 07. 14. 오전 9:20:57,7d727048-26f6-3137-e2b4-13434aeacfdd,2020. 07. 14. 오전 8:23:44,12.000000,1,8.000000,
2020. 07. 14. 오전 8:28:19,com.sec.android.app.shealth,32400000,0daa5cc2-0f4b-75ce-2ef3-601e29c2f665.binning_data,20.000000,2020. 07. 14. 오전 8:18:10,,10011,Eb+lTn/Fs+,,2020. 07. 14. 오전 9:18:10,0daa5cc2-0f4b-75ce-2ef3-601e29c2f665,2020. 07. 14. 오전 8:28:19,12.000000,1,8.000000,
2020. 07. 14. 오전 8:28:20,com.sec.android.app.shealth,32400000,0048836e-9ac3-acb4-6334-dc00de7de77c.binning_data,20.000000,2020. 07. 14. 오전 8:15:23,,10011,Eb+lTn/Fs+,,2020. 07. 14. 오전 9:15:23,0048836e-9ac3-acb4-6334-dc00de7de77c,2020. 07. 14. 오전 8:28:20,12.000000,1,8.000000,
2020. 07. 14. 오전 8:28:21,com.sec.android.app.shealth,32400000,9e6ea9f9-490f-007f-31d5-a51e7e136c73.binning_data,97.000000,2020. 07. 14. 오전 8:12:35,,10011,Eb+lTn/Fs+,,2020. 07. 14. 오전 9:12:35,9e6ea9f9-490f-007f-31d5-a51e7e136c73,2020. 07. 14. 오전 8:28:21,64.000000,1,8.000000,
2020. 07. 14. 오전 8:28:22,com.sec.android.app.shealth,32400000,6e3e8346-2341-61c0-4128-40073c262207.binning_data,97.000000,2020. 07. 14. 오전 8:09:48,,10011,Eb+lTn/Fs+,,2020. 07. 14. 오전 9:09:48,6e3e8346-2341-61c0-4128-40073c262207,2020. 07. 14. 오전 8:28:22,44.000000,1,4.000000,
2020. 07. 14. 오전 8:28:23,com.sec.android.app.shealth,32400000,bd3cd978-b587-1681-ecd8-9e0424350ab9.binning_data,97.000000,2020. 07. 14. 오전 8:07:01,,10011,Eb+lTn/Fs+,,2020. 07. 14. 오전 9:07:01,bd3cd978-b587-1681-ecd8-9e0424350ab9,2020. 07. 14. 오전 8:28:23,35.000000,1,0.000000,
2020. 07. 14. 오전 9:01:04,com.sec.android.app.shealth,32400000,1786c44d-edbb-7185-dd0f-3d2b18106502.binning_data,100.000000,2020. 07. 14. 오전 8:00:00,,10011,Eb+lTn/Fs+,,2020. 07. 14. 오전 8:59:59,1786c44d-edbb-7185-dd0f-3d2b18106502,2020. 07. 14. 오전 9:01:04,47.000000,1,0.000000,
2020. 07. 14. 오전 10:02:22,com.sec.android.app.shealth,32400000,cb852217-bcd7-322a-9082-9adc0231232b.binning_data,97.000000,2020. 07. 14. 오전 9:00:00,,10011,Eb+lTn/Fs+,,2020. 07. 14. 오전 9:59:59,cb852217-bcd7-322a-9082-9adc0231232b,2020. 07. 14. 오전 10:02:22,50.000000,1,0.000000,
2020. 07. 14. 오전 11:02:16,com.sec.android.app.shealth,32400000,c5dbdde5-8f44-5b4a-96d1-299b6dbe1e1c.binning_data,99.000000,2020. 07. 14. 오전 10:00:00,,10011,Eb+lTn/Fs+,,2020. 07. 14. 오전 10:59:59,c5dbdde5-8f44-5b4a-96d1-299b6dbe1e1c,2020. 07. 14. 오전 11:02:16,36.000000,1,1.000000,
2020. 07. 14. 오후 12:07:13,com.sec.android.app.shealth,32400000,80aab722-fdd7-eacc-b855-988e93f77dda.binning_data,99.000000,2020. 07. 14. 오전 11:00:00,,10011,Eb+lTn/Fs+,,2020. 07. 14. 오전 11:59:59,80aab722-fdd7-eacc-b855-988e93f77dda,2020. 07. 14. 오후 12:07:13,16.000000,1,0.000000,
2020. 07. 14. 오후 1:07:09,com.sec.android.app.shealth,32400000,be64297e-2681-b1b5-63f3-cc7717baf8da.binning_data,100.000000,2020. 07. 14. 오후 12:00:00,,10011,Eb+lTn/Fs+,,2020. 07. 14. 오후 12:59:59,be64297e-2681-b1b5-63f3-cc7717baf8da,2020. 07. 14. 오후 1:07:09,47.000000,1,0.000000,
