com.samsung.health.sleep_stage,1140029,6
end_time,custom,pkg_name,sleep_id,update_time,start_time,datauuid,time_offset,create_time,deviceuuid,stage
2020. 07. 08. 오전 6:11:00,,com.sec.android.app.shealth,25d0c752-a13b-e059-bdda-0b08ab05e535,2020. 07. 08. 오전 6:31:27,2020. 07. 08. 오전 6:10:00,fdc61d8a-5624-8dae-0add-f71e4b9e7a89,32400000,2020. 07. 08. 오전 6:31:27,Eb+lTn/Fs+,40002,
2020. 07. 08. 오전 6:12:00,,com.sec.android.app.shealth,25d0c752-a13b-e059-bdda-0b08ab05e535,2020. 07. 08. 오전 6:31:27,2020. 07. 08. 오전 6:11:00,972e7829-b722-05f7-bb34-8b95c74b432c,32400000,2020. 07. 08. 오전 6:31:27,Eb+lTn/Fs+,40001,
2020. 07. 08. 오전 6:15:00,,com.sec.android.app.shealth,25d0c752-a13b-e059-bdda-0b08ab05e535,2020. 07. 08. 오전 6:31:27,2020. 07. 08. 오전 6:12:00,46e4e938-2e0b-3f23-cb48-5f2dff15950f,32400000,2020. 07. 08. 오전 6:31:27,Eb+lTn/Fs+,40002,
2020. 07. 08. 오전 6:17:00,,com.sec.android.app.shealth,25d0c752-a13b-e059-bdda-0b08ab05e535,2020. 07. 08. 오전 6:31:27,2020. 07. 08. 오전 6:15:00,56cb23ab-4370-3abe-c87c-dcde2843a36a,32400000,2020. 07. 08. 오전 6:31:27,Eb+lTn/Fs+,40001,
2020. 07. 08. 오전 6:20:00,,com.sec.android.app.shealth,25d0c752-a13b-e059-bdda-0b08ab05e535,2020. 07. 08. 오전 6:31:27,2020. 07. 08. 오전 6:17:00,1a99a45a-1b15-0259-68e1-6137caafbf73,32400000,2020. 07. 08. 오전 6:31:27,Eb+lTn/Fs+,40002,
2020. 07. 08. 오전 6:21:00,,com.sec.android.app.shealth,25d0c752-a13b-e059-bdda-0b08ab05e535,2020. 07. 08. 오전 6:31:27,2020. 07. 08. 오전 6:20:00,40f662f2-0ca4-37dc-9c0f-d30ed988dbf7,32400000,2020. 07. 08. 오전 6:31:27,Eb+lTn/Fs+,40001,
2020. 07. 08. 오전 6:24:00,,com.sec.android.app.shealth,25d0c752-a13b-e059-bdda-0b08ab05e535,2020. 07. 08. 오전 6:31:27,2020. 07. 08. 오전 6:21:00,ce1356bd-b796-5ab5-c4a5-fcf2bbcbfe7e,32400000,2020. 07. 08. 오전 6:31:27,Eb+lTn/Fs+,40002,
2020. 07. 08. 오전 6:31:00,,com.sec.android.app.shealth,25d0c752-a13b-e059-bdda-0b08ab05e535,2020. 07. 08. 오전 6:31:27,2020. 07. 08. 오전 6:24:00,1fa2a209-87eb-47c0-a7b5-b00a8e3185c2,32400000,2020. 07. 08. 오전 6:31:27,Eb+lTn/Fs+,40001,
2020. 07. 09. 오전 12:33:00,,com.sec.android.app.shealth,7bb54ad5-534c-62ca-6760-6ac147db9428,2020. 07. 09. 오전 7:03:31,2020. 07. 09. 오전 12:31:00,57b2faee-9ca0-3702-0652-f6de42e7a46d,32400000,2020. 07. 09. 오전 7:03:31,Eb+lTn/Fs+,40001,
2020. 07. 09. 오전 12:34:00,,com.sec.android.app.shealth,7bb54ad5-534c-62ca-6760-6ac147db9428,2020. 07. 09. 오전 7:03:31,2020. 07. 09. 오전 12:33:00,04bd5006-4e96-f928-a402-e30fd75e9679,32400000,2020. 07. 09. 오전 7:03:31,Eb+lTn/Fs+,40002,
