com.samsung.health.step_count,1140029,6
speed,pkg_name,count,sample_position_type,time_offset,start_time,calorie,deviceuuid,custom,end_time,datauuid,distance,create_time,update_time
0.527082,com.sec.android.app.shealth,9,,32400000,2020. 07. 07. 오후 8:38:00,0.433062,sb+tNhfKEH,,2020. 07. 07. 오후 8:39:00,15941218-0000-0000-0000-941218800000,6.330000,2020. 07. 07. 오후 8:38:48,2020. 07. 07. 오후 8:38:48,
0.951350,com.sec.android.app.shealth,35,,32400000,2020. 07. 07. 오후 8:41:00,1.246930,sb+tNhfKEH,,2020. 07. 07. 오후 8:42:00,15941220-0000-0000-0000-941220600000,24.540001,2020. 07. 07. 오후 8:41:57,2020. 07. 07. 오후 8:41:57,
1.053228,com.sec.android.app.shealth,94,,32400000,2020. 07. 07. 오후 8:47:00,3.191295,sb+tNhfKEH,,2020. 07. 07. 오후 8:48:00,15941224-0000-0000-0000-941224200000,63.430000,2020. 07. 07. 오후 8:48:01,2020. 07. 07. 오후 8:48:01,
1.245351,com.sec.android.app.shealth,74,,32400000,2020. 07. 07. 오후 8:48:00,2.139561,sb+tNhfKEH,,2020. 07. 07. 오후 8:49:00,15941224-0000-0000-0000-941224800000,45.273895,2020. 07. 07. 오후 8:48:59,2020. 07. 07. 오후 8:48:59,
1.266795,com.sec.android.app.shealth,26,,32400000,2020. 07. 07. 오후 8:49:00,0.841808,sb+tNhfKEH,,2020. 07. 07. 오후 8:50:00,15941225-0000-0000-0000-941225400000,18.842773,2020. 07. 07. 오후 8:49:17,2020. 07. 07. 오후 8:49:17,
0.578447,com.sec.android.app.shealth,7,,32400000,2020. 07. 07. 오후 8:51:00,0.302063,sb+tNhfKEH,,2020. 07. 07. 오후 8:52:00,15941226-0000-0000-0000-941226600000,4.970000,2020. 07. 07. 오후 8:51:05,2020. 07. 07. 오후 8:51:05,
0.876889,com.sec.android.app.shealth,44,,32400000,2020. 07. 07. 오후 9:00:00,1.566088,sb+tNhfKEH,,2020. 07. 07. 오후 9:01:00,15941232-0000-0000-0000-941232000000,29.510000,2020. 07. 07. 오후 9:00:56,2020. 07. 07. 오후 9:00:56,
1.528970,com.sec.android.app.shealth,114,,32400000,2020. 07. 07. 오후 9:01:00,4.050343,sb+tNhfKEH,,2020. 07. 07. 오후 9:02:00,15941232-0000-0000-0000-941232600000,91.372688,2020. 07. 07. 오후 9:02:02,2020. 07. 07. 오후 9:02:02,
1.827593,com.sec.android.app.shealth,125,,32400000,2020. 07. 07. 오후 9:02:00,4.622951,sb+tNhfKEH,,2020. 07. 07. 오후 9:03:00,15941233-0000-0000-0000-941233200000,109.623604,2020. 07. 07. 오후 9:03:01,2020. 07. 07. 오후 9:03:01,
0.777763,com.sec.android.app.shealth,39,,32400000,2020. 07. 07. 오후 9:03:00,0.928948,sb+tNhfKEH,,2020. 07. 07. 오후 9:04:00,15941233-0000-0000-0000-941233800000,16.674917,2020. 07. 07. 오후 9:03:24,2020. 07. 07. 오후 9:03:24,
0.364923,com.sec.android.app.shealth,11,,32400000,2020. 07. 07. 오후 9:04:00,0.616366,sb+tNhfKEH,,2020. 07. 07. 오후 9:05:00,15941234-0000-0000-0000-941234400000,7.400000,2020. 07. 07. 오후 9:04:18,2020. 07. 07. 오후 9:04:18,
