com.samsung.health.floors_climbed,1140029,5
end_time,floor,pkg_name,custom,update_time,start_time,datauuid,time_offset,create_time,deviceuuid
2020. 07. 12. 오후 6:05:45,1.000000,com.sec.android.app.shealth,,2020. 07. 12. 오후 6:07:27,2020. 07. 12. 오후 6:05:36,0246d36a-63de-7c98-8956-f10921715531,32400000,2020. 07. 12. 오후 6:07:26,Eb+lTn/Fs+,
2020. 07. 13. 오전 7:46:13,3.000000,com.sec.android.app.shealth,,2020. 07. 13. 오전 7:56:24,2020. 07. 13. 오전 7:45:38,6be80894-7c67-6cdb-58c5-15ace684548e,32400000,2020. 07. 13. 오전 7:56:24,Eb+lTn/Fs+,
2020. 07. 13. 오전 8:16:36,1.000000,com.sec.android.app.shealth,,2020. 07. 13. 오전 8:16:51,2020. 07. 13. 오전 8:16:22,039d63d2-d5e7-7bca-427c-3f52e19f955c,32400000,2020. 07. 13. 오전 8:16:51,Eb+lTn/Fs+,
2020. 07. 13. 오전 8:40:18,2.000000,com.sec.android.app.shealth,,2020. 07. 13. 오전 9:03:24,2020. 07. 13. 오전 8:40:01,bad15f09-04e1-5080-6be0-048642ae8f12,32400000,2020. 07. 13. 오전 9:03:24,Eb+lTn/Fs+,
2020. 07. 13. 오전 8:42:31,3.000000,com.sec.android.app.shealth,,2020. 07. 13. 오전 9:03:24,2020. 07. 13. 오전 8:42:04,d74b20d1-ded7-d9fe-4ff3-8a26b2689dab,32400000,2020. 07. 13. 오전 9:03:24,Eb+lTn/Fs+,
2020. 07. 13. 오전 8:56:30,2.000000,com.sec.android.app.shealth,,2020. 07. 13. 오전 9:03:24,2020. 07. 13. 오전 8:56:08,d816c554-a658-584f-deae-259d360f36c9,32400000,2020. 07. 13. 오전 9:03:24,Eb+lTn/Fs+,
2020. 07. 13. 오전 9:00:52,2.000000,com.sec.android.app.shealth,,2020. 07. 13. 오전 9:03:24,2020. 07. 13. 오전 8:59:15,ad8058b4-97ec-f936-e09a-2d484dcaa5ab,32400000,2020. 07. 13. 오전 9:03:24,Eb+lTn/Fs+,
2020. 07. 13. 오전 9:05:55,7.000000,com.sec.android.app.shealth,,2020. 07. 13. 오전 9:09:45,2020. 07. 13. 오전 9:03:02,4e8e6a70-7626-b95c-5d12-98ce0aeae9c7,32400000,2020. 07. 13. 오전 9:03:24,Eb+lTn/Fs+,
2020. 07. 13. 오전 9:07:21,1.000000,com.sec.android.app.shealth,,2020. 07. 13. 오전 9:09:45,2020. 07. 13. 오전 9:07:08,4906d66a-473a-70dd-2d6e-8633ea5092ef,32400000,2020. 07. 13. 오전 9:09:45,Eb+lTn/Fs+,
2020. 07. 13. 오후 12:56:27,1.000000,com.sec.android.app.shealth,,2020. 07. 13. 오후 12:58:16,2020. 07. 13. 오후 12:55:51,33de325e-0000-3bf3-ce31-8053eee8d702,32400000,2020. 07. 13. 오후 12:58:16,Eb+lTn/Fs+,
