com.samsung.shealth.rewards,6105031,4
is_visible,create_time,time_offset,program_id,end_time,device_type,title,exercise_type,exercise_session_id,deviceuuid,start_time,pkg_name,update_time,number_of_streak,datauuid,extra_data,controller_id,source_pkg_name
1,2019-09-27 11:39:00.555,UTC+0900,,2019-09-21 15:00:00.000,100003,tracker_pedometer_reward_most_walking_day,,,CHxXcBbd2u,2019-09-21 15:00:00.000,com.sec.android.app.shealth,2019-09-27 11:39:00.555,,7dfa4010-e083-441a-866b-8548dc27aff4,"{""mTarget"":-1,""mValue"":13881}",tracker.pedometer,,
1,2019-09-27 09:21:28.027,UTC+0900,,2019-09-22 15:00:00.000,100003,tracker_pedometer_reward_most_walking_day,,,CHxXcBbd2u,2019-09-22 15:00:00.000,com.sec.android.app.shealth,2019-09-27 09:21:28.027,,cb7a20c7-621e-4f18-a702-456e091c9a4b,"{""mTarget"":-1,""mValue"":16578}",tracker.pedometer,,
1,2019-10-01 12:03:00.550,UTC+0900,,2019-09-21 15:00:00.000,100003,tracker_pedometer_reward_most_walking_day,,,CHxXcBbd2u,2019-09-21 15:00:00.000,com.sec.android.app.shealth,2019-10-01 12:03:00.550,,89c2ca2a-b103-4425-8cfa-1434994de001,"{""mTarget"":-1,""mValue"":13881}",tracker.pedometer,,
1,2019-09-27 11:09:28.237,UTC+0900,,2019-09-21 15:00:00.000,100003,tracker_pedometer_reward_most_walking_day,,,CHxXcBbd2u,2019-09-21 15:00:00.000,com.sec.android.app.shealth,2019-09-27 11:09:28.237,,2e92e8c8-b8ba-4dbe-b778-a5399283db75,"{""mTarget"":-1,""mValue"":13881}",tracker.pedometer,,
1,2019-09-27 04:32:54.452,UTC+0900,,2019-09-21 15:00:00.000,100003,tracker_pedometer_reward_most_walking_day,,,CHxXcBbd2u,2019-09-21 15:00:00.000,com.sec.android.app.shealth,2019-09-27 04:32:54.452,,1cb19e5d-3d19-4744-8656-dc979a659df3,"{""mTarget"":-1,""mValue"":13881}",tracker.pedometer,,
1,2019-09-28 08:17:56.037,UTC+0900,,2019-09-21 15:00:00.000,100003,tracker_pedometer_reward_most_walking_day,,,CHxXcBbd2u,2019-09-21 15:00:00.000,com.sec.android.app.shealth,2019-09-28 08:17:56.037,,951ed494-6540-47f4-97d0-a3b15a3fe924,"{""mTarget"":-1,""mValue"":13881}",tracker.pedometer,,
1,2019-09-27 09:42:38.724,UTC+0900,,2019-09-25 15:00:00.000,100003,tracker_pedometer_reward_most_walking_day,,,CHxXcBbd2u,2019-09-25 15:00:00.000,com.sec.android.app.shealth,2019-09-27 09:42:38.724,,3710291d-b4e4-43c9-a0ae-87812f130634,"{""mTarget"":-1,""mValue"":11427}",tracker.pedometer,,
1,2019-09-27 08:57:51.045,UTC+0900,,2019-09-22 15:00:00.000,100003,tracker_pedometer_reward_most_walking_day,,,CHxXcBbd2u,2019-09-22 15:00:00.000,com.sec.android.app.shealth,2019-09-27 08:57:51.045,,23241df7-57ed-4f7b-ba85-91b2f1177656,"{""mTarget"":-1,""mValue"":16578}",tracker.pedometer,,
1,2019-09-28 09:27:01.688,UTC+0900,,2019-09-22 15:00:00.000,100003,tracker_pedometer_reward_most_walking_day,,,CHxXcBbd2u,2019-09-22 15:00:00.000,com.sec.android.app.shealth,2019-09-28 09:27:01.688,,f783341c-c153-4df9-ac50-3f82dece5572,"{""mTarget"":-1,""mValue"":16578}",tracker.pedometer,,
1,2019-09-27 04:59:12.387,UTC+0900,,2019-09-21 15:00:00.000,100003,tracker_pedometer_reward_most_walking_day,,,CHxXcBbd2u,2019-09-21 15:00:00.000,com.sec.android.app.shealth,2019-09-27 04:59:12.387,,47b33278-a504-4002-92d8-08d0efaae3d2,"{""mTarget"":-1,""mValue"":13881}",tracker.pedometer,,
1,2019-10-01 12:03:00.554,UTC+0900,,2019-09-26 15:00:00.000,100003,tracker_pedometer_reward_target_achieved,,,CHxXcBbd2u,2019-09-26 15:00:00.000,com.sec.android.app.shealth,2019-10-01 12:03:04.323,,806b57cc-3249-4304-ac73-24ff63a77223,"{""mTarget"":6000,""mValue"":7551}",tracker.pedometer,,
1,2019-09-28 00:19:51.588,UTC+0900,,2019-09-22 15:00:00.000,100003,tracker_pedometer_reward_most_walking_day,,,CHxXcBbd2u,2019-09-22 15:00:00.000,com.sec.android.app.shealth,2019-09-28 00:19:51.588,,975313e6-ee19-41ae-b032-1e66afdb7ab5,"{""mTarget"":-1,""mValue"":16578}",tracker.pedometer,,
1,2019-09-27 04:09:01.445,UTC+0900,,2019-09-22 15:00:00.000,100003,tracker_pedometer_reward_most_walking_day,,,CHxXcBbd2u,2019-09-22 15:00:00.000,com.sec.android.app.shealth,2019-09-27 04:09:01.445,,5b68a478-e28c-47f9-af47-3036f944b2a7,"{""mTarget"":-1,""mValue"":16578}",tracker.pedometer,,
1,2019-09-28 13:44:15.995,UTC+0900,,2019-09-22 15:00:00.000,100003,tracker_pedometer_reward_most_walking_day,,,CHxXcBbd2u,2019-09-22 15:00:00.000,com.sec.android.app.shealth,2019-09-28 13:44:15.995,,c73c9f73-e693-45c1-929b-3a8e8739f714,"{""mTarget"":-1,""mValue"":16578}",tracker.pedometer,,
1,2019-09-28 00:58:10.554,UTC+0900,,2019-09-22 15:00:00.000,100003,tracker_pedometer_reward_most_walking_day,,,CHxXcBbd2u,2019-09-22 15:00:00.000,com.sec.android.app.shealth,2019-09-28 00:58:10.554,,f6419b35-e009-4339-b026-4ee6c8f5819e,"{""mTarget"":-1,""mValue"":16578}",tracker.pedometer,,
1,2019-09-27 09:31:28.589,UTC+0900,,2019-09-22 15:00:00.000,100003,tracker_pedometer_reward_most_walking_day,,,CHxXcBbd2u,2019-09-22 15:00:00.000,com.sec.android.app.shealth,2019-09-27 09:31:28.589,,c3134cce-a972-4e9f-86cc-7841dbaa717e,"{""mTarget"":-1,""mValue"":16578}",tracker.pedometer,,
1,2019-09-28 09:39:07.055,UTC+0900,,2019-09-21 15:00:00.000,100003,tracker_pedometer_reward_most_walking_day,,,CHxXcBbd2u,2019-09-21 15:00:00.000,com.sec.android.app.shealth,2019-09-28 09:39:07.055,,7f9ab072-a2a7-4b0a-bf30-f6310499c9af,"{""mTarget"":-1,""mValue"":13881}",tracker.pedometer,,
1,2019-09-28 08:44:29.451,UTC+0900,,2019-09-21 15:00:00.000,100003,tracker_pedometer_reward_most_walking_day,,,CHxXcBbd2u,2019-09-21 15:00:00.000,com.sec.android.app.shealth,2019-09-28 08:44:29.451,,f85a4f8b-1671-4812-9c68-15d2755b4f82,"{""mTarget"":-1,""mValue"":13881}",tracker.pedometer,,
1,2019-10-01 12:03:00.557,UTC+0900,,2019-09-27 15:00:00.000,100003,tracker_pedometer_reward_most_walking_day,,,CHxXcBbd2u,2019-09-27 15:00:00.000,com.sec.android.app.shealth,2019-10-01 12:03:00.557,,97ecc9ac-452e-4b08-bd15-dd5995dd8c6f,"{""mTarget"":-1,""mValue"":21265}",tracker.pedometer,,
0,2019-09-23 12:57:00.527,UTC+0900,,2019-09-23 12:57:00.418,,goal_activity_reward_most_active_day,,,CHxXcBbd2u,2019-09-23 13:12:54.362,com.sec.android.app.shealth,2019-09-28 10:30:00.473,,fa8b673b-571f-495d-b713-c55d90c29cca,"{""mIsCompleted"":false,""mValue"":147,""mValue2"":0}",goal.activity,,
1,2019-09-28 01:20:53.465,UTC+0900,,2019-09-22 15:00:00.000,100003,tracker_pedometer_reward_most_walking_day,,,CHxXcBbd2u,2019-09-22 15:00:00.000,com.sec.android.app.shealth,2019-09-28 01:20:53.465,,6a089dc0-a81c-4887-94ee-b375c30f00de,"{""mTarget"":-1,""mValue"":16578}",tracker.pedometer,,
1,2019-09-27 04:46:28.877,UTC+0900,,2019-09-22 15:00:00.000,100003,tracker_pedometer_reward_most_walking_day,,,CHxXcBbd2u,2019-09-22 15:00:00.000,com.sec.android.app.shealth,2019-09-27 04:46:28.877,,c77f29fc-02ec-4b82-8a19-11d7c07a862e,"{""mTarget"":-1,""mValue"":16578}",tracker.pedometer,,
0,2019-09-29 08:51:22.259,UTC+0900,,2019-09-29 08:51:22.231,,goal_activity_reward_goal_achieved,,,CHxXcBbd2u,2019-09-29 08:51:22.231,com.sec.android.app.shealth,2019-09-30 06:14:00.119,,f1211e85-b51e-4daf-be7d-30ebce5bf4fa,"{""mIsCompleted"":false,""mValue"":69,""mValue2"":60}",goal.activity,,
1,2019-09-28 00:42:25.168,UTC+0900,,2019-09-22 15:00:00.000,100003,tracker_pedometer_reward_most_walking_day,,,CHxXcBbd2u,2019-09-22 15:00:00.000,com.sec.android.app.shealth,2019-09-28 00:42:25.168,,ff931dbc-7809-4d21-97c2-43e5a06b424a,"{""mTarget"":-1,""mValue"":16578}",tracker.pedometer,,
1,2019-09-28 00:54:00.819,UTC+0900,,2019-09-21 15:00:00.000,100003,tracker_pedometer_reward_most_walking_day,,,CHxXcBbd2u,2019-09-21 15:00:00.000,com.sec.android.app.shealth,2019-09-28 00:54:00.819,,c6761d60-106c-4272-ad3c-891167cdd94b,"{""mTarget"":-1,""mValue"":13881}",tracker.pedometer,,
1,2019-09-28 00:51:00.708,UTC+0900,,2019-09-21 15:00:00.000,100003,tracker_pedometer_reward_most_walking_day,,,CHxXcBbd2u,2019-09-21 15:00:00.000,com.sec.android.app.shealth,2019-09-28 00:51:00.708,,c71b21b8-636b-4202-b1e7-58144d3cbaac,"{""mTarget"":-1,""mValue"":13881}",tracker.pedometer,,
1,2019-09-27 11:04:40.936,UTC+0900,,2019-09-22 15:00:00.000,100003,tracker_pedometer_reward_most_walking_day,,,CHxXcBbd2u,2019-09-22 15:00:00.000,com.sec.android.app.shealth,2019-09-27 11:04:40.936,,fe33d184-d9a4-4103-8b6c-b0462dd4cd81,"{""mTarget"":-1,""mValue"":16578}",tracker.pedometer,,
