com.samsung.shealth.step_daily_trend,6105031,6
create_time,distance,count,source_type,day_time,speed,deviceuuid,pkg_name,update_time,binning_data,datauuid,calorie,source_pkg_name
2019-10-21 17:34:15.603,7397.2603,10109,-2,1571702400000,1.5805085,VfS0qUERdZ,com.sec.android.app.shealth,2019-10-22 14:45:45.431,05d2ca19-46ac-43db-984b-d7924be72005.binning_data.json,05d2ca19-46ac-43db-984b-d7924be72005,361.26996,com.sec.android.app.shealth,
2019-10-06 01:00:39.656,6610.6206,8611,-2,1570320000000,1.6178794,VfS0qUERdZ,com.sec.android.app.shealth,2019-10-06 09:15:29.488,e38eca05-ab14-431f-9a57-c6d990de7636.binning_data.json,e38eca05-ab14-431f-9a57-c6d990de7636,292.03992,com.sec.android.app.shealth,
2019-10-24 15:00:01.614,9430.319,13317,0,1571875200000,2.1829832,CHxXcBbd2u,com.sec.android.app.shealth,2019-10-24 15:00:01.614,c398dfba-abee-4fe3-9078-e9b89fdb4280.binning_data.json,c398dfba-abee-4fe3-9078-e9b89fdb4280,513.51996,com.sec.android.app.shealth,
2019-11-01 03:38:58.385,7220.86,9857,-2,1572566400000,1.6232724,VfS0qUERdZ,com.sec.android.app.shealth,2019-11-01 12:53:22.841,bb7a2ff3-f184-4f6c-a570-053be36c7d34.binning_data.json,bb7a2ff3-f184-4f6c-a570-053be36c7d34,356.11,com.sec.android.app.shealth,
2019-10-24 15:11:50.527,6504.44,8837,-2,1571961600000,1.5754373,VfS0qUERdZ,com.sec.android.app.shealth,2019-10-25 11:39:54.739,e6ae5628-7533-42bb-b398-7cff93254e9e.binning_data.json,e6ae5628-7533-42bb-b398-7cff93254e9e,311.25998,com.sec.android.app.shealth,
2019-10-27 15:00:04.425,12104.2,15573,0,1572134400000,3.329148,CHxXcBbd2u,com.sec.android.app.shealth,2019-10-27 15:00:04.425,7b9dc897-43fe-4b06-970d-23523c6d4e38.binning_data.json,7b9dc897-43fe-4b06-970d-23523c6d4e38,515.37994,com.sec.android.app.shealth,
2019-10-28 01:15:02.665,11646.76,16150,-2,1572220800000,1.6300007,VfS0qUERdZ,com.sec.android.app.shealth,2019-10-28 14:24:44.896,d163de23-0b64-449f-89fc-6dadac7f93a3.binning_data.json,d163de23-0b64-449f-89fc-6dadac7f93a3,586.94995,com.sec.android.app.shealth,
2019-11-03 17:05:27.509,8816.101,12757,-2,1572825600000,1.6101559,VfS0qUERdZ,com.sec.android.app.shealth,2019-11-04 13:10:01.215,9024d91a-7fef-4ae3-a45d-5029f237c92e.binning_data.json,9024d91a-7fef-4ae3-a45d-5029f237c92e,478.05,com.sec.android.app.shealth,
2019-10-13 15:00:15.947,8015.1006,10303,0,1570924800000,4.888889,CHxXcBbd2u,com.sec.android.app.shealth,2019-10-13 15:00:15.947,74ec600e-8437-427e-a1cc-cec75dd79740.binning_data.json,74ec600e-8437-427e-a1cc-cec75dd79740,341.42996,com.sec.android.app.shealth,
2019-11-07 01:14:23.311,7846.02,11106,-2,1573084800000,1.6299058,VfS0qUERdZ,com.sec.android.app.shealth,2019-11-07 09:29:25.978,39aa75b2-b47c-412d-8619-df9fc98af523.binning_data.json,39aa75b2-b47c-412d-8619-df9fc98af523,401.34998,com.sec.android.app.shealth,
2019-10-30 15:00:01.849,7703.0103,10609,0,1572393600000,6.944445,CHxXcBbd2u,com.sec.android.app.shealth,2019-10-30 15:00:01.849,b4748f97-df37-48d8-b52d-96162eff1bc4.binning_data.json,b4748f97-df37-48d8-b52d-96162eff1bc4,391.15997,com.sec.android.app.shealth,
2019-10-31 00:30:31.774,7011.5703,9987,-2,1572480000000,1.633079,VfS0qUERdZ,com.sec.android.app.shealth,2019-10-31 07:45:09.764,769bf72a-44f7-4ff7-a23a-9af9b8436430.binning_data.json,769bf72a-44f7-4ff7-a23a-9af9b8436430,373.54996,com.sec.android.app.shealth,
2019-11-02 23:48:11.648,7917.98,10227,-2,1572739200000,1.6045533,VfS0qUERdZ,com.sec.android.app.shealth,2019-11-03 09:59:15.011,23b7d675-578e-417e-8f87-50bd47bca52e.binning_data.json,23b7d675-578e-417e-8f87-50bd47bca52e,333.25998,com.sec.android.app.shealth,
2019-11-09 15:04:27.087,8277.07,10536,-2,1573344000000,1.6959193,VfS0qUERdZ,com.sec.android.app.shealth,2019-11-10 10:53:12.794,2ce10ae5-2f1a-4b28-9ffc-4c111061850f.binning_data.json,2ce10ae5-2f1a-4b28-9ffc-4c111061850f,345.88998,com.sec.android.app.shealth,
2019-11-02 15:00:02.136,14673.431,19023,0,1572652800000,2.5162725,CHxXcBbd2u,com.sec.android.app.shealth,2019-11-02 15:00:02.136,ee198585-faed-4b53-a70a-43e48449a3de.binning_data.json,ee198585-faed-4b53-a70a-43e48449a3de,648.51996,com.sec.android.app.shealth,
2019-11-05 22:00:26.971,11954.971,16578,-2,1572998400000,1.6159025,VfS0qUERdZ,com.sec.android.app.shealth,2019-11-06 13:17:59.257,6deb20ed-6e49-496a-bd00-eaa5979c7699.binning_data.json,6deb20ed-6e49-496a-bd00-eaa5979c7699,593.92,com.sec.android.app.shealth,
2019-11-05 15:00:50.800,4444.95,6178,0,1572912000000,1.9722222,CHxXcBbd2u,com.sec.android.app.shealth,2019-11-05 15:00:50.800,fa4ca5c2-1ddb-4edd-b66e-43ef774832f8.binning_data.json,fa4ca5c2-1ddb-4edd-b66e-43ef774832f8,216.70999,com.sec.android.app.shealth,
2019-11-12 15:05:05.787,17585.861,22922,-2,1573603200000,1.6231629,VfS0qUERdZ,com.sec.android.app.shealth,2019-11-13 14:17:12.908,fbb21dac-08c0-4e93-bc5b-65f07f2e065e.binning_data.json,fbb21dac-08c0-4e93-bc5b-65f07f2e065e,798.8599,com.sec.android.app.shealth,
2019-10-16 15:00:02.157,8101.7104,10406,0,1571184000000,2.430113,CHxXcBbd2u,com.sec.android.app.shealth,2019-10-16 15:00:02.157,642d5704-a8f1-4240-abcc-d326ceb32a0e.binning_data.json,642d5704-a8f1-4240-abcc-d326ceb32a0e,342.27994,com.sec.android.app.shealth,
2019-10-09 02:41:32.680,6200.31,8077,-2,1570579200000,1.6102154,VfS0qUERdZ,com.sec.android.app.shealth,2019-10-09 13:32:49.999,c86a78f5-246d-4027-90f8-20a749c560a8.binning_data.json,c86a78f5-246d-4027-90f8-20a749c560a8,264.25998,com.sec.android.app.shealth,
2019-11-08 15:00:01.644,6766.12,9519,0,1573171200000,5.027777,CHxXcBbd2u,com.sec.android.app.shealth,2019-11-08 15:00:01.644,a7d4e004-a3d5-4748-91bf-2d88f77ed4a9.binning_data.json,a7d4e004-a3d5-4748-91bf-2d88f77ed4a9,348.13992,com.sec.android.app.shealth,
2019-11-08 15:03:49.449,16698.37,21750,-2,1573257600000,1.5432973,VfS0qUERdZ,com.sec.android.app.shealth,2019-11-09 14:36:25.182,7fa0f3a9-2bab-44e8-85fc-b370ce33c7b5.binning_data.json,7fa0f3a9-2bab-44e8-85fc-b370ce33c7b5,749.16,com.sec.android.app.shealth,
2019-11-15 15:53:42.353,8388.859,10801,-2,1573862400000,1.5300503,VfS0qUERdZ,com.sec.android.app.shealth,2019-11-19 15:00:03.314,0930fa14-47f2-4d18-8a72-1df8f072a47d.binning_data.json,0930fa14-47f2-4d18-8a72-1df8f072a47d,387.81998,com.sec.android.app.shealth,
2019-10-11 15:15:08.783,10268.21,13263,-2,1570838400000,1.5808834,VfS0qUERdZ,com.sec.android.app.shealth,2019-10-12 13:29:37.445,23240345-cc76-432a-8cd7-c40a11b7af8d.binning_data.json,23240345-cc76-432a-8cd7-c40a11b7af8d,454.07996,com.sec.android.app.shealth,
2019-11-12 00:34:06.126,8199.97,11460,-2,1573516800000,1.5764716,VfS0qUERdZ,com.sec.android.app.shealth,2019-11-12 12:39:00.837,2b5aba1c-c364-4c86-bdd8-701ca4dd5d23.binning_data.json,2b5aba1c-c364-4c86-bdd8-701ca4dd5d23,414.91998,com.sec.android.app.shealth,
2019-10-15 00:26:10.172,11988.95,15516,-2,1571097600000,1.6114186,VfS0qUERdZ,com.sec.android.app.shealth,2019-10-15 14:25:50.637,8c6e7744-509d-44fe-9fcd-df32b0ebe861.binning_data.json,8c6e7744-509d-44fe-9fcd-df32b0ebe861,529.31995,com.sec.android.app.shealth,
2019-11-11 15:00:14.077,10312.47,14642,0,1573430400000,2.3094366,CHxXcBbd2u,com.sec.android.app.shealth,2019-11-11 15:00:14.077,1f2765e2-9b28-475d-b6a0-bac2beb8accb.binning_data.json,1f2765e2-9b28-475d-b6a0-bac2beb8accb,522.73,com.sec.android.app.shealth,
2019-10-19 15:00:01.250,11711.461,15037,0,1571443200000,2.9444442,CHxXcBbd2u,com.sec.android.app.shealth,2019-10-19 15:00:01.250,0d980404-8356-4c58-8dbf-81fb83ca1c55.binning_data.json,0d980404-8356-4c58-8dbf-81fb83ca1c55,497.22992,com.sec.android.app.shealth,
2019-11-15 01:45:51.707,7146.8096,10148,-2,1573776000000,1.5613357,VfS0qUERdZ,com.sec.android.app.shealth,2019-11-15 13:55:52.682,d606ae7e-01f5-42aa-b4ef-ce37aedf5f2c.binning_data.json,d606ae7e-01f5-42aa-b4ef-ce37aedf5f2c,382.8,com.sec.android.app.shealth,
2019-11-14 15:00:59.050,13891.851,18984,0,1573689600000,3.4240017,CHxXcBbd2u,com.sec.android.app.shealth,2019-11-14 15:00:59.050,38d8fe12-98d9-41b0-a8c6-dfd855864d23.binning_data.json,38d8fe12-98d9-41b0-a8c6-dfd855864d23,693.7299,com.sec.android.app.shealth,
2019-11-19 01:32:05.293,4774.2197,6409,-2,1574121600000,1.6123182,VfS0qUERdZ,com.sec.android.app.shealth,2019-11-19 14:52:48.184,32399ad8-147a-41a9-9e42-260ddd9114a9.binning_data.json,32399ad8-147a-41a9-9e42-260ddd9114a9,220.19998,com.sec.android.app.shealth,
