com.samsung.health.sleep_stage,6105031,6
start_time,pkg_name,update_time,create_time,stage,time_offset,datauuid,sleep_id,custom,end_time,deviceuuid
2020-07-12 20:11:00.000,com.sec.android.app.shealth,2020-07-12 20:15:00.000,2020-07-12 20:15:00.000,40002,UTC+0900,fb94bb0b-7df2-ceb4-d18f-0dc668039761,8cdf53ac-8c48-1cdf-0eee-876a3eff1847,,2020-07-12 20:15:00.000,xUcHHNl7co,
2020-07-13 18:11:00.000,com.sec.android.app.shealth,2020-07-13 18:13:00.000,2020-07-13 18:13:00.000,40001,UTC+0900,e29f960c-f628-785e-6ec8-1ecdf6de1d68,23923548-7193-3aa0-15a9-37beb54cc8e2,,2020-07-13 18:13:00.000,xUcHHNl7co,
2020-07-13 20:15:00.000,com.sec.android.app.shealth,2020-07-13 20:28:00.000,2020-07-13 20:28:00.000,40003,UTC+0900,385373b1-b145-7eb8-5818-49e8baf7568d,23923548-7193-3aa0-15a9-37beb54cc8e2,,2020-07-13 20:28:00.000,xUcHHNl7co,
2020-07-12 20:41:00.000,com.sec.android.app.shealth,2020-07-12 20:42:00.000,2020-07-12 20:42:00.000,40001,UTC+0900,d563c8e8-7afa-f6c0-0050-018643d9b49d,8cdf53ac-8c48-1cdf-0eee-876a3eff1847,,2020-07-12 20:42:00.000,xUcHHNl7co,
2020-07-13 18:30:00.000,com.sec.android.app.shealth,2020-07-13 18:31:00.000,2020-07-13 18:31:00.000,40001,UTC+0900,c38ec406-4135-f79f-5ee2-9ea8b2de66f7,23923548-7193-3aa0-15a9-37beb54cc8e2,,2020-07-13 18:31:00.000,xUcHHNl7co,
2020-07-12 08:33:00.000,com.sec.android.app.shealth,2020-07-12 08:35:00.000,2020-07-12 08:35:00.000,40001,UTC+0900,f6aa9490-5d4a-81de-1969-dcd64ac61226,c1342020-546f-7524-6996-60d5039c026a,,2020-07-12 08:35:00.000,xUcHHNl7co,
2020-07-13 16:59:00.000,com.sec.android.app.shealth,2020-07-13 17:07:00.000,2020-07-13 17:07:00.000,40001,UTC+0900,08c27fed-723d-0ccc-a0dd-c5ac08ea3b70,23923548-7193-3aa0-15a9-37beb54cc8e2,,2020-07-13 17:07:00.000,xUcHHNl7co,
2020-07-13 17:29:00.000,com.sec.android.app.shealth,2020-07-13 17:38:00.000,2020-07-13 17:38:00.000,40002,UTC+0900,8003d60d-75a8-bd55-bd55-601ce1463c79,23923548-7193-3aa0-15a9-37beb54cc8e2,,2020-07-13 17:38:00.000,xUcHHNl7co,
2020-07-13 17:50:00.000,com.sec.android.app.shealth,2020-07-13 18:06:00.000,2020-07-13 18:06:00.000,40002,UTC+0900,cc2e9383-20a3-9483-661e-1a7450c112dd,23923548-7193-3aa0-15a9-37beb54cc8e2,,2020-07-13 18:06:00.000,xUcHHNl7co,
2020-07-13 21:21:00.000,com.sec.android.app.shealth,2020-07-13 21:22:00.000,2020-07-13 21:22:00.000,40001,UTC+0900,56518756-7319-75db-9c2b-50b631eb489b,23923548-7193-3aa0-15a9-37beb54cc8e2,,2020-07-13 21:22:00.000,xUcHHNl7co,
