com.samsung.shealth.tracker.heart_rate,6105031,3
tag_id,source,com.samsung.health.heart_rate.create_time,com.samsung.health.heart_rate.time_offset,com.samsung.health.heart_rate.max,com.samsung.health.heart_rate.heart_beat_count,com.samsung.health.heart_rate.custom,com.samsung.health.heart_rate.end_time,com.samsung.health.heart_rate.heart_rate,com.samsung.health.heart_rate.deviceuuid,com.samsung.health.heart_rate.start_time,com.samsung.health.heart_rate.pkg_name,com.samsung.health.heart_rate.update_time,com.samsung.health.heart_rate.min,com.samsung.health.heart_rate.binning_data,com.samsung.health.heart_rate.datauuid,com.samsung.health.heart_rate.comment
21301,,1594626098000,UTC+0900,76.0,1,,1594626098000,76.0,xUcHHNl7co,1594626098000,com.sec.android.app.shealth,1594626098000,76.0,,e4c6bfd5-ee13-0d44-c6d4-0078f7689eae,,
21301,,1594567223000,UTC+0900,71.0,1,,1594567223000,71.0,xUcHHNl7co,1594567223000,com.sec.android.app.shealth,1594567223000,71.0,,474695d1-5481-ed11-e1b7-df7fea2ae1d1,,
21301,,1594629703000,UTC+0900,75.0,1,,1594629703000,75.0,xUcHHNl7co,1594629703000,com.sec.android.app.shealth,1594629703000,75.0,,59b75b94-bf1c-9a27-6344-184c0d0472ea,,
21301,,1594273120000,UTC+0900,84.0,1,,1594273120000,84.0,xUcHHNl7co,1594273120000,com.sec.android.app.shealth,1594273120000,84.0,,f09613e4-e1ab-b9e9-f42c-51b845d962bc,,
21301,,1594278809000,UTC+0900,82.0,1,,1594278809000,82.0,xUcHHNl7co,1594278809000,com.sec.android.app.shealth,1594278809000,82.0,,65251b3f-11f2-1b2c-2122-a191887e240d,,
21313,,1594522799000,UTC+0900,108.0,1,,1594522799000,82.0,xUcHHNl7co,1594520640000,com.sec.android.app.shealth,1594522799000,70.0,319ff86a-6a2b-9301-9725-34a41ab4dce4.com.samsung.health.heart_rate.binning_data.json,319ff86a-6a2b-9301-9725-34a41ab4dce4,,
21313,,1594634399000,UTC+0900,105.0,1,,1594634399000,73.0,xUcHHNl7co,1594630800000,com.sec.android.app.shealth,1594634399000,60.0,6b9c2124-a0bb-12e4-6f61-928f5a579aeb.com.samsung.health.heart_rate.binning_data.json,6b9c2124-a0bb-12e4-6f61-928f5a579aeb,,
21301,,1594639356000,UTC+0900,74.0,1,,1594639356000,74.0,xUcHHNl7co,1594639356000,com.sec.android.app.shealth,1594639356000,74.0,,7e8b07a1-0aba-c281-b838-998befcfb175,,
21301,,1594570317000,UTC+0900,71.0,1,,1594570317000,71.0,xUcHHNl7co,1594570317000,com.sec.android.app.shealth,1594570317000,71.0,,b8d9d6db-0242-8762-5157-193dec541b50,,
21301,,1594651684000,UTC+0900,65.0,1,,1594651684000,65.0,xUcHHNl7co,1594651684000,com.sec.android.app.shealth,1594651684000,65.0,,82722ac7-c600-352b-e727-8b1b93b9b9d7,,
21313,,1594530180000,UTC+0900,106.0,1,,1594533120000,80.0,xUcHHNl7co,1594530000000,com.sec.android.app.shealth,1594533120000,67.0,ddd6bef0-eba4-ea92-c48e-293266e567bf.com.samsung.health.heart_rate.binning_data.json,ddd6bef0-eba4-ea92-c48e-293266e567bf,,
21301,,1594574567000,UTC+0900,60.0,1,,1594574567000,60.0,xUcHHNl7co,1594574567000,com.sec.android.app.shealth,1594574567000,60.0,,74a2b111-ea68-8c1e-a199-5dcd6e6c4755,,
21301,,1594535210000,UTC+0900,84.0,1,,1594535210000,84.0,xUcHHNl7co,1594535210000,com.sec.android.app.shealth,1594535210000,84.0,,e304ee40-ab5c-f267-3af3-bbffbf75121b,,
