com.samsung.shealth.tracker.pedometer_event,6105031,1
start_time,pkg_name,update_time,create_time,time_offset,datauuid,end_time,type,healthy_step,deviceuuid
2020-07-11 15:36:21.853,com.sec.android.app.shealth,2020-07-11 15:37:15.991,2020-07-11 15:36:33.780,UTC+0900,3729fbae-f4ae-48bb-94fb-1e1ce51d61c9,2020-07-11 15:37:12.038,1,86,CHxXcBbd2u,
2020-07-15 03:42:28.465,com.sec.android.app.shealth,2020-07-15 03:59:06.125,2020-07-15 03:52:29.432,UTC+0900,2b9e66dc-875f-4753-8deb-8e42d56eade7,2020-07-15 03:58:30.059,1,1703,CHxXcBbd2u,
2020-07-15 10:00:43.183,com.sec.android.app.shealth,2020-07-15 10:12:28.652,2020-07-15 10:10:53.087,UTC+0900,207dc690-52ec-41ea-a290-e6bd51e33d1e,2020-07-15 10:11:43.795,1,1117,CHxXcBbd2u,
2020-06-28 03:53:22.847,com.sec.android.app.shealth,2020-06-28 03:57:55.230,2020-06-28 03:53:53.164,UTC+0900,15785213-e7e8-4145-92f0-515425b57d98,2020-06-28 03:57:39.179,1,318,CHxXcBbd2u,
2020-07-15 12:08:12.000,com.sec.android.app.shealth,2020-07-15 12:21:47.000,2020-07-15 12:21:47.000,UTC+0900,b8916157-1e5f-2052-2154-f9e046e073e3,2020-07-15 12:21:47.000,1,925,xUcHHNl7co,
2020-07-15 23:44:11.872,com.sec.android.app.shealth,2020-07-15 23:57:39.323,2020-07-15 23:54:36.454,UTC+0900,c6e752d1-3904-4d3a-8736-27badc0268b9,2020-07-15 23:57:24.568,1,1240,CHxXcBbd2u,
2020-07-16 10:53:13.000,com.sec.android.app.shealth,2020-07-16 11:07:48.000,2020-07-16 11:07:48.000,UTC+0900,b18475c3-9326-0c2d-31c5-2d0771a64598,2020-07-16 11:07:48.000,1,1261,xUcHHNl7co,
2020-07-11 04:04:12.660,com.sec.android.app.shealth,2020-07-11 04:15:38.088,2020-07-11 04:14:25.095,UTC+0900,0c729fb1-d204-43de-9d54-6347f916ce11,2020-07-11 04:15:12.771,1,1100,CHxXcBbd2u,
2020-07-16 23:39:54.000,com.sec.android.app.shealth,2020-07-16 23:53:27.000,2020-07-16 23:53:27.000,UTC+0900,326765bd-3ff5-5176-05db-947caf356d4e,2020-07-16 23:53:27.000,1,1154,xUcHHNl7co,
2020-07-12 07:01:16.187,com.sec.android.app.shealth,2020-07-12 07:13:55.162,2020-07-12 07:11:20.989,UTC+0900,af6b16cc-25b3-4150-b4ef-796189c613b8,2020-07-12 07:13:16.231,1,1111,CHxXcBbd2u,
2020-07-12 12:35:52.000,com.sec.android.app.shealth,2020-07-12 13:02:37.000,2020-07-12 13:02:37.000,UTC+0900,93385f11-674f-a270-acf1-655e003339d7,2020-07-12 13:02:37.000,1,1560,xUcHHNl7co,
2020-07-13 10:46:48.000,com.sec.android.app.shealth,2020-07-13 10:58:56.000,2020-07-13 10:58:56.000,UTC+0900,6c962348-5248-ffc8-ad8e-3252b8cf6c8e,2020-07-13 10:58:56.000,1,1188,xUcHHNl7co,
2020-07-01 10:41:32.938,com.sec.android.app.shealth,2020-07-01 10:51:56.504,2020-07-01 10:51:35.424,UTC+0900,7557754a-db07-40e7-a3f8-daeb458044b5,2020-07-01 10:51:53.059,1,1119,CHxXcBbd2u,
2020-07-13 23:39:41.000,com.sec.android.app.shealth,2020-07-13 23:50:45.000,2020-07-13 23:50:45.000,UTC+0900,1966ecd5-3289-daf9-b48e-4e7954b3e07d,2020-07-13 23:50:45.000,1,1012,xUcHHNl7co,
2020-07-14 23:40:25.308,com.sec.android.app.shealth,2020-07-14 23:50:42.891,2020-07-14 23:50:32.343,UTC+0900,4b89b69d-5eb9-4466-9349-46f6dc213a1f,2020-07-14 23:50:35.394,1,997,CHxXcBbd2u,
2020-07-14 13:13:41.140,com.sec.android.app.shealth,2020-07-14 13:31:20.419,2020-07-14 13:23:41.904,UTC+0900,e3a9d7ec-e2fd-454b-b7f6-1cbd3cc4c6d1,2020-07-14 13:30:41.189,1,1653,CHxXcBbd2u,
2020-07-02 08:31:26.852,com.sec.android.app.shealth,2020-07-02 08:55:29.287,2020-07-02 08:41:27.421,UTC+0900,02c53636-a6d2-4a27-adfd-e8de5309a110,2020-07-02 08:55:28.203,1,2602,CHxXcBbd2u,
2020-07-15 09:28:48.000,com.sec.android.app.shealth,2020-07-15 09:41:00.000,2020-07-15 09:41:00.000,UTC+0900,3d5f14da-48fe-fa36-0611-ecc57c7b9f69,2020-07-15 09:41:00.000,1,1329,xUcHHNl7co,
2020-07-15 09:28:13.139,com.sec.android.app.shealth,2020-07-15 09:41:14.515,2020-07-15 09:38:24.740,UTC+0900,7eb65b61-f971-4260-a81d-80b39c363236,2020-07-15 09:41:10.103,1,1425,CHxXcBbd2u,
2020-07-15 23:44:24.000,com.sec.android.app.shealth,2020-07-15 23:57:05.000,2020-07-15 23:57:05.000,UTC+0900,c200e112-aa37-3e8a-9f30-0a628f31de7d,2020-07-15 23:57:05.000,1,1183,xUcHHNl7co,
2020-07-15 12:42:15.000,com.sec.android.app.shealth,2020-07-15 12:55:49.000,2020-07-15 12:55:49.000,UTC+0900,ea35bda6-0806-0047-8324-ff0636e73f3c,2020-07-15 12:55:49.000,1,1291,xUcHHNl7co,
2020-07-05 13:02:37.929,com.sec.android.app.shealth,2020-07-05 13:18:39.561,2020-07-05 13:12:44.489,UTC+0900,82f6ddf4-2ff7-4ab1-b9eb-616055e539d3,2020-07-05 13:18:34.445,1,1499,CHxXcBbd2u,
2020-07-16 23:39:17.592,com.sec.android.app.shealth,2020-07-16 23:50:27.821,2020-07-16 23:49:20.187,UTC+0900,d95529fd-c8be-4258-9495-56a41306bfd1,2020-07-16 23:50:20.060,1,1033,CHxXcBbd2u,
2020-07-07 11:05:13.924,com.sec.android.app.shealth,2020-07-07 11:06:58.259,2020-07-07 11:06:58.256,UTC+0900,fefd7754-ff57-43b8-9e95-bc2feff9f6bf,2020-07-07 11:06:52.443,1,91,CHxXcBbd2u,
2020-07-09 10:42:28.414,com.sec.android.app.shealth,2020-07-09 10:42:43.642,2020-07-09 10:42:43.642,UTC+0900,2bb961eb-43ba-416d-87f9-3b2959a108ef,2020-07-09 10:42:38.468,1,12,CHxXcBbd2u,
2020-07-11 15:37:42.172,com.sec.android.app.shealth,2020-07-11 15:41:40.883,2020-07-11 15:37:58.231,UTC+0900,44e4aced-6848-4272-84f7-cddd1a8f8264,2020-07-11 15:41:36.872,1,441,CHxXcBbd2u,
2020-07-12 23:36:33.199,com.sec.android.app.shealth,2020-07-12 23:48:52.112,2020-07-12 23:46:37.962,UTC+0900,a15191d8-ee2f-4761-84fd-a3b3c809de06,2020-07-12 23:48:35.661,1,1101,CHxXcBbd2u,
2020-07-14 11:22:51.338,com.sec.android.app.shealth,2020-07-14 11:34:36.838,2020-07-14 11:32:52.457,UTC+0900,8768699e-521a-4a6f-b15e-43db8e7bc550,2020-07-14 11:33:51.404,1,1084,CHxXcBbd2u,
2020-07-14 23:50:45.430,com.sec.android.app.shealth,2020-07-14 23:51:40.869,2020-07-14 23:50:59.518,UTC+0900,445c3f67-033b-4008-abe3-b159f084b729,2020-07-14 23:51:40.039,1,58,CHxXcBbd2u,
2020-07-15 10:01:07.000,com.sec.android.app.shealth,2020-07-15 10:11:52.000,2020-07-15 10:11:52.000,UTC+0900,6cf083f4-69e3-42ac-6bc5-eb3055c5299d,2020-07-15 10:11:52.000,1,1034,xUcHHNl7co,
2020-07-16 10:52:44.018,com.sec.android.app.shealth,2020-07-16 11:05:06.292,2020-07-16 11:02:47.091,UTC+0900,c4872954-d67c-463e-baf1-3fc79c02cdef,2020-07-16 11:04:44.083,1,1227,CHxXcBbd2u,
