com.samsung.shealth.calories_burned.details,6105031,1
extra_data,version,com.samsung.shealth.calories_burned.tef_calorie,com.samsung.shealth.calories_burned.active_time,com.samsung.shealth.calories_burned.pkg_name,com.samsung.shealth.calories_burned.update_time,com.samsung.shealth.calories_burned.create_time,com.samsung.shealth.calories_burned.datauuid,com.samsung.shealth.calories_burned.rest_calorie,com.samsung.shealth.calories_burned.active_calorie,com.samsung.shealth.calories_burned.day_time,com.samsung.shealth.calories_burned.deviceuuid
cb0e6d52-f57f-4e3a-8410-07b160a600c5.extra_data.json,,0.0,8655082,com.sec.android.app.shealth,1572102001099,1572015601689,cb0e6d52-f57f-4e3a-8410-07b160a600c5,1464.3715,510.07977,1572048000000,CHxXcBbd2u,
d587b3c9-5327-4e83-85c9-208bae299468.extra_data.json,,0.0,0,com.sec.android.app.shealth,1569058795326,1569058795326,d587b3c9-5327-4e83-85c9-208bae299468,1610.3641,0.0,1568419200000,CHxXcBbd2u,
4e225b31-39da-491c-aa8b-9dcd27fe3169.extra_data.json,,0.0,8709343,com.sec.android.app.shealth,1571497200904,1571410801080,4e225b31-39da-491c-aa8b-9dcd27fe3169,1463.3494,499.96692,1571443200000,CHxXcBbd2u,
9036117c-01ad-4fb3-9405-3e1f01499e0a.extra_data.json,,0.0,12278208,com.sec.android.app.shealth,1569682800435,1569596401122,9036117c-01ad-4fb3-9405-3e1f01499e0a,1381.5171,728.4931,1569628800000,CHxXcBbd2u,
1ec5a623-cc3c-41be-be6e-a056d7d23b06.extra_data.json,,0.0,7279722,com.sec.android.app.shealth,1571929200911,1571842801588,1ec5a623-cc3c-41be-be6e-a056d7d23b06,1490.2771,519.45416,1571875200000,CHxXcBbd2u,
b352d328-a9e1-4c67-a2d2-d6a9bef81664.extra_data.json,,0.0,5394424,com.sec.android.app.shealth,1572620401290,1572534000891,b352d328-a9e1-4c67-a2d2-d6a9bef81664,1525.7878,361.84647,1572566400000,CHxXcBbd2u,
ba458654-39d7-4523-adcf-86e73cc0d182.extra_data.json,,0.0,0,com.sec.android.app.shealth,1569058805412,1569058805412,ba458654-39d7-4523-adcf-86e73cc0d182,1610.3641,0.0,1568678400000,CHxXcBbd2u,
e0bd3e8b-ab04-4ce1-bc5b-b0d58424b0ca.extra_data.json,,0.0,8159880,com.sec.android.app.shealth,1570201201265,1570114800482,e0bd3e8b-ab04-4ce1-bc5b-b0d58424b0ca,1473.6989,507.01093,1570147200000,CHxXcBbd2u,
a7155e27-ba2f-41e0-b4a5-b74b0f71ecd0.extra_data.json,,0.0,5852591,com.sec.android.app.shealth,1573138800926,1573052401220,a7155e27-ba2f-41e0-b4a5-b74b0f71ecd0,1517.158,406.36887,1573084800000,CHxXcBbd2u,
988a7a5c-aaa7-4787-893c-4d474b75f5dd.extra_data.json,,0.0,4241392,com.sec.android.app.shealth,1569596401352,1569510000403,988a7a5c-aaa7-4787-893c-4d474b75f5dd,1531.311,277.95248,1569542400000,CHxXcBbd2u,
