com.samsung.shealth.activity.day_summary,6105031,1
others_time,goal,longest_idle_time,create_time,distance,run_time,step_count,walk_time,day_time,deviceuuid,active_time,score,pkg_name,update_time,longest_active_time,datauuid,extra_data,calorie
0,60,40080000,2019-10-10 15:00:00.528,9128.533,10667,12590,7131537,1570752000000,CHxXcBbd2u,7142204,196,com.sec.android.app.shealth,2019-10-11 15:00:00.850,1345767,b3d3a849-f84e-492a-b7b6-7ffcfe00ff7a,b3d3a849-f84e-492a-b7b6-7ffcfe00ff7a.extra_data.json,463.28577,
0,60,36540000,2019-09-27 15:00:01.079,16561.957,75050,21265,12203158,1569628800000,CHxXcBbd2u,12278208,340,com.sec.android.app.shealth,2019-09-28 14:32:38.138,895440,0e1d22ea-c578-416a-9fe6-1e4a0f62b379,0e1d22ea-c578-416a-9fe6-1e4a0f62b379.extra_data.json,728.49304,
0,60,31020000,2019-10-16 15:00:00.475,9898.414,4947,13613,7644027,1571270400000,CHxXcBbd2u,7648974,211,com.sec.android.app.shealth,2019-10-17 12:36:06.517,1260727,3880888b-5c70-43f1-847d-2783e422f75a,3880888b-5c70-43f1-847d-2783e422f75a.extra_data.json,493.02762,
0,60,29340000,2019-10-03 15:00:00.388,10647.217,16344,14188,8143536,1570147200000,CHxXcBbd2u,8159880,225,com.sec.android.app.shealth,2019-10-04 14:35:11.971,858706,ff86b23f-b38e-4d3c-9a67-269593602a9c,ff86b23f-b38e-4d3c-9a67-269593602a9c.extra_data.json,507.01096,
0,60,22920000,2019-10-22 15:00:00.513,6873.58,2000,9237,4993251,1571788800000,CHxXcBbd2u,4995251,138,com.sec.android.app.shealth,2019-10-23 13:46:16.739,1265942,4aa5bde5-d089-422a-a803-37ba66e8a3f4,4aa5bde5-d089-422a-a803-37ba66e8a3f4.extra_data.json,334.9377,
0,-1,-1,2019-09-21 09:39:53.163,0.0,0,0,0,1567296000000,CHxXcBbd2u,0,0,com.sec.android.app.shealth,2019-09-21 09:39:53.163,0,6d32c8fc-f222-42b4-9cdf-8315d145d421,6d32c8fc-f222-42b4-9cdf-8315d145d421.extra_data.json,0.0,
0,-1,-1,2019-09-21 09:39:54.211,0.0,0,0,0,1568937600000,CHxXcBbd2u,0,0,com.sec.android.app.shealth,2019-09-21 09:39:54.211,0,87d1c672-94d5-456a-afa9-2a80ab3f5c74,87d1c672-94d5-456a-afa9-2a80ab3f5c74.extra_data.json,0.0,
0,60,36000000,2019-10-09 15:00:00.392,5865.7104,4106,8327,4422818,1570665600000,CHxXcBbd2u,4426924,121,com.sec.android.app.shealth,2019-10-10 14:25:44.320,1123854,f137ccc5-0e52-4ad6-87c0-80ec75bb758b,f137ccc5-0e52-4ad6-87c0-80ec75bb758b.extra_data.json,325.02167,
0,60,39600000,2019-09-26 15:00:00.326,5461.6333,67,7551,4241325,1569542400000,CHxXcBbd2u,4241392,116,com.sec.android.app.shealth,2019-09-27 13:10:09.865,1024161,447c3c2a-c75a-4f3c-87f9-cb705fec8b6f,447c3c2a-c75a-4f3c-87f9-cb705fec8b6f.extra_data.json,277.95248,
0,60,34740000,2019-10-15 15:00:00.530,8138.3267,23168,10406,5871095,1571184000000,CHxXcBbd2u,5894263,161,com.sec.android.app.shealth,2019-10-16 14:52:42.391,1608102,da1b02dc-2214-4bdd-a898-4d1d6405687d,da1b02dc-2214-4bdd-a898-4d1d6405687d.extra_data.json,343.9271,
0,60,38459999,2019-10-02 15:01:11.249,3746.8403,85716,4690,2525839,1570060800000,CHxXcBbd2u,2611555,71,com.sec.android.app.shealth,2019-10-03 15:00:00.714,480000,32aa1311-8a48-475e-b73f-fb53624c8846,32aa1311-8a48-475e-b73f-fb53624c8846.extra_data.json,167.28995,
0,60,29280000,2019-10-21 15:00:01.511,7490.4526,800,10109,5678190,1571702400000,CHxXcBbd2u,5678990,156,com.sec.android.app.shealth,2019-10-22 14:45:44.792,1048804,a704fc54-8600-4b33-a0d1-7214f77920f1,a704fc54-8600-4b33-a0d1-7214f77920f1.extra_data.json,366.36743,
0,-1,-1,2019-09-21 09:39:53.569,0.0,0,0,0,1567814400000,CHxXcBbd2u,0,0,com.sec.android.app.shealth,2019-09-21 09:39:53.569,0,19186286-a289-4758-9a09-515da1e95b0e,19186286-a289-4758-9a09-515da1e95b0e.extra_data.json,0.0,
0,60,36660000,2019-10-27 15:00:02.653,11852.274,10637,16150,8802156,1572220800000,CHxXcBbd2u,8812793,243,com.sec.android.app.shealth,2019-10-28 14:24:44.277,1105320,c50daa55-49a7-49bb-ae20-de57b0f4b74e,c50daa55-49a7-49bb-ae20-de57b0f4b74e.extra_data.json,598.2775,
0,60,42060000,2019-10-08 15:00:00.530,6280.0894,1200,8077,4488881,1570579200000,CHxXcBbd2u,4490081,123,com.sec.android.app.shealth,2019-10-09 13:31:15.304,1188747,f509c842-cb6e-4bcc-8695-3de94f385bd8,f509c842-cb6e-4bcc-8695-3de94f385bd8.extra_data.json,267.6507,
0,60,31680000,2019-11-02 15:00:00.457,7922.373,12400,10227,5578156,1572739200000,CHxXcBbd2u,5590556,153,com.sec.android.app.shealth,2019-11-03 09:59:14.421,667471,fd15d6af-99a3-47aa-a3ab-faad4d4622fe,fd15d6af-99a3-47aa-a3ab-faad4d4622fe.extra_data.json,333.43744,
0,60,33960000,2019-10-14 15:00:00.609,12048.86,61551,15516,8683699,1571097600000,CHxXcBbd2u,8745250,241,com.sec.android.app.shealth,2019-10-15 14:50:40.516,757059,16c1d73e-8443-4d49-8025-7e37d8c9a32f,16c1d73e-8443-4d49-8025-7e37d8c9a32f.extra_data.json,532.0819,
0,60,38580000,2019-10-28 15:00:00.775,4039.4302,7200,5189,2933483,1572307200000,CHxXcBbd2u,2940683,80,com.sec.android.app.shealth,2019-10-30 02:11:59.783,887557,f273bd64-f1c4-4aab-8b3a-72693e8cbf77,f273bd64-f1c4-4aab-8b3a-72693e8cbf77.extra_data.json,184.36865,
0,60,28980000,2019-11-03 15:00:01.038,8955.566,573,12757,6668415,1572825600000,CHxXcBbd2u,6668988,185,com.sec.android.app.shealth,2019-11-04 15:00:01.776,1177750,cac59abe-f758-4973-a255-bd21f2e95559,cac59abe-f758-4973-a255-bd21f2e95559.extra_data.json,485.27933,
0,60,27240000,2019-10-20 15:00:00.598,11443.695,2400,15928,8476450,1571616000000,CHxXcBbd2u,8478850,235,com.sec.android.app.shealth,2019-10-21 13:26:24.739,1224695,3ba88a31-244c-4790-b94d-fb86603b2a00,3ba88a31-244c-4790-b94d-fb86603b2a00.extra_data.json,589.2539,
0,60,33000000,2019-09-23 15:00:01.531,385.83,7200,468,300150,1569283200000,CHxXcBbd2u,307350,8,com.sec.android.app.shealth,2019-09-24 15:00:00.619,19343,e81993a3-5053-4403-b025-f567f02b255b,e81993a3-5053-4403-b025-f567f02b255b.extra_data.json,18.359997,
0,60,34860000,2019-09-29 15:00:01.447,10448.364,7668,14121,7845742,1569801600000,CHxXcBbd2u,7853410,216,com.sec.android.app.shealth,2019-09-30 13:34:45.756,998383,1567bc9a-99d9-466d-a79b-b07383f6e8b5,1567bc9a-99d9-466d-a79b-b07383f6e8b5.extra_data.json,533.5359,
