com.samsung.shealth.tracker.pedometer_step_count,6105031,2
duration,run_step,version_code,walk_step,com.samsung.health.step_count.create_time,com.samsung.health.step_count.distance,com.samsung.health.step_count.time_offset,com.samsung.health.step_count.custom,com.samsung.health.step_count.count,com.samsung.health.step_count.end_time,com.samsung.health.step_count.speed,com.samsung.health.step_count.deviceuuid,com.samsung.health.step_count.start_time,com.samsung.health.step_count.pkg_name,com.samsung.health.step_count.update_time,com.samsung.health.step_count.datauuid,com.samsung.health.step_count.calorie,com.samsung.health.step_count.sample_position_type
18163,0,4,35,1592376902857,26.74,UTC+0900,,35,1592376900000,1.4722222,CHxXcBbd2u,1592376840000,com.sec.android.app.shealth,1592376902857,a2670b71-9c34-4305-a285-28ab5041b1a0,1.17,,
38864,0,4,76,1592382385261,58.58,UTC+0900,,76,1592382420000,1.5073042,CHxXcBbd2u,1592382360000,com.sec.android.app.shealth,1592382501337,1b2d0e56-d353-43ac-8b78-71a33f61a0c4,2.6399999,,
23580,0,4,48,1592382501358,37.99,UTC+0900,,48,1592382480000,1.6111112,CHxXcBbd2u,1592382420000,com.sec.android.app.shealth,1592382501358,ae88ef90-1952-4a1d-b60f-44194c100524,1.51,,
43711,0,4,76,1592382501374,66.69,UTC+0900,,90,1592382540000,1.5257003,CHxXcBbd2u,1592382480000,com.sec.android.app.shealth,1592382637174,4849aed0-ebba-4044-a0a1-5a8c40bdbaf3,2.9,,
60000,0,4,115,1592382637196,88.0,UTC+0900,,115,1592382600000,1.4666667,CHxXcBbd2u,1592382540000,com.sec.android.app.shealth,1592382637196,157e3e36-f5ca-4adf-9021-e1fb23e384a3,4.36,,
36880,0,4,27,1592382637224,52.86,UTC+0900,,105,1592382660000,1.4332951,CHxXcBbd2u,1592382600000,com.sec.android.app.shealth,1592382905848,93b15f45-20c8-4eea-a4bf-a37b44dcd133,3.57,,
46788,0,4,38,1592382905866,77.98,UTC+0900,,129,1592382720000,1.6666665,CHxXcBbd2u,1592382660000,com.sec.android.app.shealth,1592382905866,67a29993-0980-4d9e-aed2-75a899633b61,3.89,,
43605,0,4,24,1592382905913,66.62,UTC+0900,,123,1592382780000,1.5277778,CHxXcBbd2u,1592382720000,com.sec.android.app.shealth,1592382905913,4e68a418-96bb-4c39-b492-d00f8f0dc095,3.69,,
32491,0,4,15,1592382905942,49.64,UTC+0900,,106,1592382840000,1.5277778,CHxXcBbd2u,1592382780000,com.sec.android.app.shealth,1592382905942,d8d01e0a-954f-4841-b256-4e0dec183c04,3.25,,
17566,0,4,34,1592382905968,26.35,UTC+0900,,34,1592382900000,1.5,CHxXcBbd2u,1592382840000,com.sec.android.app.shealth,1592382905968,b8fba88e-72e8-4aef-9f44-79811f3ecd20,1.07,,
26680,0,4,52,1592383047614,40.02,UTC+0900,,52,1592382960000,1.5,CHxXcBbd2u,1592382900000,com.sec.android.app.shealth,1592383047614,622d62b8-f505-43e6-96d3-994f8c9b33e0,1.7,,
52442,0,4,66,1592383462978,75.75,UTC+0900,,113,1592383320000,1.4444444,CHxXcBbd2u,1592383260000,com.sec.android.app.shealth,1592383462978,f5736c0f-02c4-438b-90a3-db9ef8320aa5,5.16,,
11544,0,4,24,1592383047649,18.6,UTC+0900,,24,1592383020000,1.6111112,CHxXcBbd2u,1592382960000,com.sec.android.app.shealth,1592383047649,ae778366-df24-4e6d-8ef8-a3643f920690,0.81,,
43795,0,4,37,1592383463027,59.61,UTC+0900,,108,1592383380000,1.3611112,CHxXcBbd2u,1592383320000,com.sec.android.app.shealth,1592383463027,3ca7ca1c-e9a9-43a3-9c98-7de6dd1662c7,6.43,,
17026,1,4,33,1592383812179,28.85,UTC+0900,,34,1592383740000,1.6944444,CHxXcBbd2u,1592383680000,com.sec.android.app.shealth,1592383812179,e5d01612-4c1d-4501-acfb-2b295184d602,1.35,,
4434,0,4,7,1592383171883,5.05,UTC+0900,,7,1592383140000,1.1388888,CHxXcBbd2u,1592383080000,com.sec.android.app.shealth,1592383171883,7c67406d-c8b4-422c-bc41-9c403b07db06,0.25,,
