com.samsung.shealth.tracker.pedometer_day_summary,6105031,5
create_time,distance,achievement,step_count,recommendation,day_time,speed,deviceuuid,active_time,source_package_name,pkg_name,update_time,walk_step_count,binning_data,datauuid,calorie,run_step_count,source_info,healthy_step
2019-09-24 16:38:09.082,10266.221,1274119e-0c05-4e42-a7a2-0f93064c01d9.achievement.json,13973,6000,1569369600000,1.63627,VfS0qUERdZ,6274160,com.sec.android.app.shealth,com.sec.android.app.shealth,2019-09-25 13:33:01.965,13837,1274119e-0c05-4e42-a7a2-0f93064c01d9.binning_data.json,1274119e-0c05-4e42-a7a2-0f93064c01d9,507.06998,136,1274119e-0c05-4e42-a7a2-0f93064c01d9.source_info.json,0,
2019-10-30 15:00:01.807,7703.0103,a818ebb5-f178-4444-a072-d7e1c30e7179.achievement.json,10609,6000,1572393600000,6.944445,CHxXcBbd2u,4684536,com.sec.android.app.shealth,com.sec.android.app.shealth,2019-10-30 15:00:01.807,10464,a818ebb5-f178-4444-a072-d7e1c30e7179.binning_data.json,a818ebb5-f178-4444-a072-d7e1c30e7179,391.15997,145,,8131,
2019-11-02 15:00:02.073,14673.431,170d7dfd-e4c7-44be-8c44-6ff95c12f0d4.achievement.json,19023,6000,1572652800000,2.5162725,CHxXcBbd2u,9395795,com.sec.android.app.shealth,com.sec.android.app.shealth,2019-11-02 15:00:02.073,18915,170d7dfd-e4c7-44be-8c44-6ff95c12f0d4.binning_data.json,170d7dfd-e4c7-44be-8c44-6ff95c12f0d4,648.51996,108,,2388,
2019-09-28 01:09:44.404,16542.07,602088e4-865f-4c51-a303-9c96c4d82464.achievement.json,21265,6000,1569628800000,1.5629901,VfS0qUERdZ,10583605,com.sec.android.app.shealth,com.sec.android.app.shealth,2019-09-28 14:32:37.208,21059,602088e4-865f-4c51-a303-9c96c4d82464.binning_data.json,602088e4-865f-4c51-a303-9c96c4d82464,727.5999,206,602088e4-865f-4c51-a303-9c96c4d82464.source_info.json,0,
2019-11-05 15:00:50.761,4444.95,3833f024-ee93-4b7f-b657-2b245ae112ed.achievement.json,6178,6000,1572912000000,1.9722222,CHxXcBbd2u,2735022,com.sec.android.app.shealth,com.sec.android.app.shealth,2019-11-05 15:00:50.761,6156,3833f024-ee93-4b7f-b657-2b245ae112ed.binning_data.json,3833f024-ee93-4b7f-b657-2b245ae112ed,216.70999,22,,2309,
2019-10-17 23:46:18.551,7897.95,e25a0304-d0f6-4966-a3d9-48b187131364.achievement.json,10868,6000,1571356800000,1.6168401,VfS0qUERdZ,4884805,com.sec.android.app.shealth,com.sec.android.app.shealth,2019-10-18 09:22:34.093,10742,e25a0304-d0f6-4966-a3d9-48b187131364.binning_data.json,e25a0304-d0f6-4966-a3d9-48b187131364,393.74997,126,e25a0304-d0f6-4966-a3d9-48b187131364.source_info.json,0,
2019-10-01 00:10:27.775,7487.5303,9eda250f-bf02-4b86-8419-1f51892978be.achievement.json,9863,6000,1569888000000,1.6823878,VfS0qUERdZ,4450537,com.sec.android.app.shealth,com.sec.android.app.shealth,2019-10-01 14:52:15.246,9735,9eda250f-bf02-4b86-8419-1f51892978be.binning_data.json,9eda250f-bf02-4b86-8419-1f51892978be,347.68997,128,9eda250f-bf02-4b86-8419-1f51892978be.source_info.json,0,
2019-10-20 22:34:53.515,11306.89,7c36e85a-5d56-477b-97c8-7de74915812f.achievement.json,15928,6000,1571616000000,1.5811435,VfS0qUERdZ,7151083,com.sec.android.app.shealth,com.sec.android.app.shealth,2019-10-21 13:26:25.309,15805,7c36e85a-5d56-477b-97c8-7de74915812f.binning_data.json,7c36e85a-5d56-477b-97c8-7de74915812f,578.48,123,7c36e85a-5d56-477b-97c8-7de74915812f.source_info.json,0,
2019-11-08 15:00:01.593,6766.12,7ffc9693-960d-4500-807b-3d9325caf2f9.achievement.json,9519,6000,1573171200000,5.027777,CHxXcBbd2u,4204084,com.sec.android.app.shealth,com.sec.android.app.shealth,2019-11-08 15:00:01.593,9442,7ffc9693-960d-4500-807b-3d9325caf2f9.binning_data.json,7ffc9693-960d-4500-807b-3d9325caf2f9,348.13992,77,,7876,
2019-10-03 16:01:50.554,10597.61,5e99be48-96ce-48a4-b320-f4bcb4a58ca2.achievement.json,14188,6000,1570147200000,1.555048,VfS0qUERdZ,6814973,com.sec.android.app.shealth,com.sec.android.app.shealth,2019-10-04 14:35:36.612,14117,5e99be48-96ce-48a4-b320-f4bcb4a58ca2.binning_data.json,5e99be48-96ce-48a4-b320-f4bcb4a58ca2,504.23993,71,5e99be48-96ce-48a4-b320-f4bcb4a58ca2.source_info.json,0,
2019-10-23 17:55:47.826,9430.319,53ab1ec9-00c1-40fe-b76d-1c753b2bc0f1.achievement.json,13317,6000,1571875200000,1.5710261,VfS0qUERdZ,6002649,com.sec.android.app.shealth,com.sec.android.app.shealth,2019-10-24 14:54:25.870,13274,53ab1ec9-00c1-40fe-b76d-1c753b2bc0f1.binning_data.json,53ab1ec9-00c1-40fe-b76d-1c753b2bc0f1,513.51996,43,53ab1ec9-00c1-40fe-b76d-1c753b2bc0f1.source_info.json,0,
2019-11-11 15:00:13.971,10312.47,43c5e22d-da79-49d7-a907-6f3a553eabdc.achievement.json,14642,6000,1573430400000,2.3094366,CHxXcBbd2u,6519040,com.sec.android.app.shealth,com.sec.android.app.shealth,2019-11-11 15:00:13.971,14551,43c5e22d-da79-49d7-a907-6f3a553eabdc.binning_data.json,43c5e22d-da79-49d7-a907-6f3a553eabdc,522.73,91,,12552,
