regionid,productgroup,yearweek,volume,REGIONID,PRODUCTGROUP,YEARWEEK,VOLUME
,,,,A01,ST0002,201507.0,146476.0
,,,,A01,ST0002,201510.0,153152.0
,,,,A01,ST0002,201502.0,123875.0
,,,,A01,ST0002,201505.0,180516.0
,,,,A01,ST0002,201508.0,156772.0
,,,,A01,ST0002,201503.0,114744.0
,,,,A01,ST0002,201506.0,139277.0
,,,,A01,ST0002,201509.0,141823.0
,,,,A01,ST0002,201501.0,155729.0
,,,,A01,ST0002,201504.0,137162.0
,,,,A01,ST0002,201535.0,149570.0
,,,,A01,ST0002,201538.0,132870.0
,,,,A01,ST0002,201533.0,150105.0
,,,,A01,ST0002,201541.0,127720.0
,,,,A01,ST0002,201536.0,210006.0
,,,,A01,ST0002,201539.0,129992.0
,,,,A01,ST0002,201534.0,168303.0
,,,,A01,ST0002,201532.0,134564.0
,,,,A01,ST0002,201537.0,195106.0
,,,,A01,ST0002,201540.0,139629.0
,,,,A01,ST0002,201525.0,128766.0
,,,,A01,ST0002,201528.0,142598.0
,,,,A01,ST0002,201523.0,125300.0
,,,,A01,ST0002,201526.0,135212.0
,,,,A01,ST0002,201531.0,140732.0
,,,,A01,ST0002,201521.0,132909.0
,,,,A01,ST0002,201529.0,154985.0
,,,,A01,ST0002,201524.0,139590.0
,,,,A01,ST0002,201527.0,184550.0
,,,,A01,ST0002,201522.0,143231.0
,,,,A01,ST0002,201530.0,133998.0
,,,,A01,ST0002,201605.0,231214.0
,,,,A01,ST0002,201603.0,152763.0
,,,,A01,ST0002,201601.0,162801.0
,,,,A01,ST0002,201608.0,130000.0
,,,,A01,ST0002,201606.0,172230.0
,,,,A01,ST0002,201552.0,422468.0
,,,,A01,ST0002,201604.0,197057.0
,,,,A01,ST0002,201602.0,137186.0
,,,,A01,ST0002,201553.0,232523.0
,,,,A01,ST0002,201607.0,161324.0
,,,,A01,ST0002,201543.0,124142.0
,,,,A01,ST0002,201551.0,356271.0
,,,,A01,ST0002,201546.0,184242.0
,,,,A01,ST0002,201549.0,669711.0
,,,,A01,ST0002,201544.0,133493.0
,,,,A01,ST0002,201547.0,378339.0
,,,,A01,ST0002,201542.0,136559.0
,,,,A01,ST0002,201550.0,294579.0
,,,,A01,ST0002,201545.0,155032.0
,,,,A01,ST0002,201548.0,1400339.0
,,,,A01,ST0002,201623.0,161983.0
,,,,A01,ST0002,201621.0,205984.0
,,,,A01,ST0002,201626.0,196489.0
,,,,A01,ST0002,201619.0,152980.0
,,,,A01,ST0002,201624.0,171592.0
,,,,A01,ST0002,201622.0,214929.0
,,,,A01,ST0002,201620.0,160913.0
,,,,A01,ST0002,201618.0,162560.0
,,,,A01,ST0002,201625.0,157283.0
,,,,A01,ST0002,201612.0,132780.0
,,,,A01,ST0002,201610.0,142575.0
,,,,A01,ST0002,201617.0,142279.0
,,,,A01,ST0002,201615.0,143180.0
,,,,A01,ST0002,201613.0,135788.0
,,,,A01,ST0002,201611.0,150915.0
,,,,A01,ST0002,201616.0,137927.0
,,,,A01,ST0002,201609.0,154149.0
,,,,A01,ST0002,201614.0,148835.0
,,,,A01,ST0002,201412.0,151750.0
,,,,A01,ST0002,201420.0,125863.0
