제품명,최저가,사이트주소,제조회사,등록년월,분류,운영체제,인프라,블루투스버전,안드로이드OS,iOS,모양,패널종류,화면크기,해상도,모바일AP,코어갯수,시스템램,내장메모리,WiFi,GPS,NFC,심박센서,가속도센서,만보기센서,자이로센서,기압센서,자외선센서,3D터치센서,나침반센서,조도센서,모션센서,걷기,달리기,자전거타기,일립티컬,로잉머신,등산,승마,수영,스키,골프,요가,보행수,이동거리,칼로리,활동시간,수면정보,심박측정,심전도,운동량,체온,고도,페이스,속도,날씨,체지방,혈압체크,여성 건강 모니터링,진동,메세지알림,SNS알림,전화알림,통화가능,음악콘트롤,스피커,마이크,카메라촬영,분실방지,생활방수,전자결제,알람시계,전용앱지원,배터리용량,사용시간,무게(본체),방수/방진,시계줄넓이,형태,적합성평가인증,안전확인인증
삼성전자 기어 핏2 프로 Large,311190,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58306&cate4=0&pcode=5491899&cmpnyc=TP402&safe_trade=4&fee_type=T&link_pcode=580665535&package=0&setpc=0,삼성전자,201709,스마트밴드,타이젠OS,블루투스,,안드로이드OS,,사각형,SAMOLED,"3.8cm(1.5"")",432x216,,,램 : 512MB,저장 : 4GB,○,○,,,○,,○,○,,,,,,,,,,,,,,,,,○,○,○,○,○,○,,○,,,○,,,,,,○,,○,,,○,,,,○,○,,,○,200mAh,평균사용:최대 5일,34g,5ATM,,밴드분리형,MSIP-CMM-SEC-SMR365 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
작콤테크놀로지 Timer2 스마트링,23890,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58306&cate4=0&pcode=3469962&cmpnyc=EE128&safe_trade=4&fee_type=T&link_pcode=803826512&package=0&setpc=0,작콤테크놀로지,201510,스마트반지,,,,안드로이드OS,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
핏빗 Inspire,102950,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58306&cate4=0&pcode=7399108&cmpnyc=TP40F&safe_trade=4&fee_type=T&link_pcode=I596479374&package=0&setpc=0,핏빗,201903,스마트밴드,기타OS,블루투스,v4.0,v4.3 이상,v9.0 이상,사각형,OLED,,,,,,,,,○,,○,,○,,,,,,,○,○,○,,,,,○,,,,○,○,○,,○,,,,,○,,,,,,○,○,,○,,,,,,,,○,,○,,,평균사용:5일,,5ATM,,밴드분리형,R-C-XRA-FB412 인증번호 확인,YU10453-18008 인증번호 확인
핏빗 Ace 2,98540,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58306&cate4=0&pcode=8371539&cmpnyc=TH201&safe_trade=4&fee_type=T&link_pcode=2697683732&package=0&setpc=0,핏빗,201906,스마트밴드,기타OS,블루투스,v4.0,v4.3 이상,v10.6 이상,사각형,OLED,,,,,,,,,,,○,,,,,,,,,○,,,,,,,,,,,○,,,○,○,,,,,,,,,,,,,,,,,,,,,,○,,○,○,,평균사용:5일,,5ATM,,밴드분리형,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
sincom 메탈가죽 스마트밴드,20000,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58306&cate4=0&pcode=4719665&cmpnyc=TH201&safe_trade=4&fee_type=T&link_pcode=1590591597&package=0&setpc=0,sincom,201612,스마트밴드,기타OS,블루투스,,안드로이드OS,iOS,원형,,,,,,,,,,○,,,,○,,,,,,,,,,,,,,,,,,○,○,,,○,,,○,,,,,,,,,○,,○,,,,,,,,○,,,○,,평균사용:3개월,,,,밴드분리형,MSIP-CRM-Zxt-Inmetal 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
파트론 URBAN Cash,59900,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58306&cate4=0&pcode=6565612&cmpnyc=ED909&safe_trade=4&fee_type=T&link_pcode=62530437&package=0&setpc=0,파트론,201811,스마트밴드,기타OS,블루투스,,안드로이드OS,iOS,사각형,OLED,,,,,,,,,,○,○,,,○,,,,,,,,,,,,,,,,,○,○,○,○,○,○,,,,○,,○,,,,,,,○,,,,,,,,,,,,80mAh,평균사용:7일,17g,IPX8,,,KCR-CRM-Ptr-PWB-260 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
삼성전자 기어 핏2 프로 Small,311190,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58306&cate4=0&pcode=5491900&cmpnyc=TP402&safe_trade=4&fee_type=T&link_pcode=580665535&package=0&setpc=0,삼성전자,201709,스마트밴드,타이젠OS,블루투스,,안드로이드OS,,사각형,SAMOLED,"3.8cm(1.5"")",432x216,,,램 : 512MB,저장 : 4GB,○,○,,,○,,○,○,,,,,,,,,,,,,,,,,○,○,○,○,○,○,,○,,,○,,,,,,○,,○,,,○,,,,○,○,,,○,200mAh,평균사용:최대 5일,34g,5ATM,,밴드분리형,MSIP-CMM-SEC-SMR365 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
핏빗 Charge HR,93790,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58306&cate4=0&pcode=3205067&cmpnyc=TP40F&safe_trade=4&fee_type=T&link_pcode=I4577078&package=0&setpc=0,핏빗,201505,스마트밴드,기타OS,블루투스,,안드로이드OS,iOS,사각형,OLED,,,,,,,,○,,,○,,,○,,,,,,,,,,,,,,,,,○,○,○,○,○,○,,○,,○,,○,,,,,○,,○,,,,,,,,○,,,○,,평균사용:5일,,,,밴드일체형,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
lemfo LT04,69100,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58306&cate4=0&pcode=10383774&cmpnyc=TN729&safe_trade=4&fee_type=T&link_pcode=431615272_431615272&package=0&setpc=0,lemfo,202001,스마트밴드,기타OS,블루투스,v5.0,안드로이드OS,iOS,,TFT,"2.43cm(0.96"")",160x80,,,,,,,,○,,,,,,,,,,○,○,○,,,,,○,,,,○,○,○,,○,○,,,,,,,,,○,,,○,○,○,,○,,,,,○,,○,,160mAh,평균사용:1일~7일,,IP67,,,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
코아 I5 Plus 스마트밴드,29900,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58306&cate4=0&pcode=4011648&cmpnyc=TN729&safe_trade=4&fee_type=T&link_pcode=100118800_100118800&package=0&setpc=0,코아,201603,스마트밴드,기타OS,블루투스,,안드로이드OS,iOS,사각형,OLED,"2.32cm(0.91"")",,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,○,○,○,○,○,,,○,,,,,,,,,○,,○,,,,,,○,○,○,,,○,75mAh,평균사용:5~7일,,IP67,,밴드분리형,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
