,제품명,최저가,사이트주소,제조회사,등록년월,분류,운영체제,인프라,블루투스버전,안드로이드OS,iOS,모양,패널종류,화면크기,해상도,모바일AP,코어갯수,시스템램,내장메모리,WiFi,GPS,NFC,심박센서,가속도센서,만보기센서,자이로센서,기압센서,자외선센서,3D터치센서,나침반센서,조도센서,모션센서,걷기,달리기,자전거타기,일립티컬,로잉머신,등산,승마,수영,스키,골프,요가,보행수,이동거리,칼로리,활동시간,수면정보,심박측정,심전도,운동량,체온,고도,페이스,속도,날씨,체지방,혈압체크,여성 건강 모니터링,진동,메세지알림,SNS알림,전화알림,통화가능,음악콘트롤,스피커,마이크,카메라촬영,분실방지,생활방수,전자결제,알람시계,전용앱지원,배터리용량,사용시간,무게(본체),방수/방진,시계줄넓이,형태,적합성평가인증,안전확인인증
64,삼성전자 기어S3 프론티어 LTE,358580,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=7367251&cmpnyc=ED910&safe_trade=4&fee_type=T&link_pcode=6398159089&package=0&setpc=0,삼성전자,201611,스마트워치,타이젠OS,LTE+블루투스,,안드로이드OS,,원형,SAMOLED,"3.3cm(1.3"")",360x360,삼성 엑시노스7270,듀얼(2)코어,램 : 768MB,저장 : 4GB,○,○,○,○,○,○,○,○,,,,,,○,○,○,○,○,,,,,,○,○,○,○,○,○,,,,,,,,,,,,○,,○,,,○,○,○,,○,○,○,,,380mAh,평균사용:3~4일,63g,IP68,표준 22mm 시계줄,밴드분리형,MSIP-CMM-SEC-SMR765 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
65,샤오미 어메이즈핏 페이스,108210,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=4398860&cmpnyc=ED910&safe_trade=4&fee_type=T&link_pcode=6863179253&package=0&setpc=0,샤오미,201608,스마트워치,,블루투스,,안드로이드OS,iOS,원형,,"3.3cm(1.3"")",320x320,,듀얼(2)코어,램 : 512MB,저장 : 4GB,,○,,○,,○,,,,,,,,,,,,,,,,,,,○,○,,○,,,,,,,,,,,,,○,,○,,,○,,,,○,○,,,,280mAh,평균사용:5일,,IP67,표준 22mm 시계줄,밴드분리형,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
66,APPLE 워치 시리즈5 에르메스 44mm Cellular 스페이스 블랙 스테인리스 스틸 케이스,1860000,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=9706452&cmpnyc=EE128&safe_trade=4&fee_type=T&link_pcode=1765337107&package=0&setpc=0,APPLE,202003,스마트워치,iOS(WatchOS),LTE+블루투스,v5.0,,,사각형,OLED,,368x448,애플S5,,,저장 : 32GB,○,○,○,○,○,,○,○,,,○,,,○,○,○,,,○,,,,,,○,○,○,○,,○,○,○,,○,○,○,○,,,○,,,,,,,,,,,○,,,○,,평균사용:1일이하,,5ATM,,밴드분리형,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
67,APPLE 워치 시리즈5 44mm Cellular 실버 알루미늄 케이스,692000,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=9705672&cmpnyc=EE128&safe_trade=4&fee_type=T&link_pcode=1744191779&package=0&setpc=0,APPLE,201910,스마트워치,iOS(WatchOS),LTE+블루투스,v5.0,,,사각형,OLED,,368x448,애플S5,,,저장 : 32GB,○,○,○,○,○,,○,○,,,○,,,○,○,○,,,○,,,,,,○,○,○,○,,○,○,○,,○,○,○,○,,,○,,,,,,,,,,,○,,,○,,평균사용:1일이하,,5ATM,,밴드분리형,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
68,lemfo LEM4 Pro 3G,143360,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=6437015&cmpnyc=TQB02&safe_trade=4&fee_type=T&link_pcode=1488919407&package=0&setpc=0,lemfo,201809,스마트워치,안드로이드OS,블루투스,,안드로이드OS,,사각형,LCD,5.59cm(2.2),320x240,미디어텍 MT6580,쿼드(4)코어,램 : 1GB,저장 : 16GB,○,○,,,,,,,,,,,,,,,,,,,,,,,○,○,○,,,,,○,,,,,,,,,,,,,○,○,,,○,,,,,,"1,200mAh",,,,,,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
69,APPLE 워치 시리즈5 40mm Cellular 실버 알루미늄 케이스,633990,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=9705651&cmpnyc=EE128&safe_trade=4&fee_type=T&link_pcode=1744725912&package=0&setpc=0,APPLE,201910,스마트워치,iOS(WatchOS),LTE+블루투스,v5.0,,,사각형,OLED,,324x394,애플S5,,,저장 : 32GB,○,○,○,○,○,,○,○,,,○,,,○,○,○,,,○,,,,,,○,○,○,○,,○,○,○,,○,○,○,○,,,○,,,,,,,,,,,○,,,○,,평균사용:1일이하,,5ATM,,밴드분리형,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
70,APPLE 워치 시리즈5 40mm Cellular 골드 알루미늄 케이스,652400,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=9705789&cmpnyc=EE128&safe_trade=4&fee_type=T&link_pcode=1744727348&package=0&setpc=0,APPLE,201910,스마트워치,iOS(WatchOS),LTE+블루투스,v5.0,,,사각형,OLED,,324x394,애플S5,,,저장 : 32GB,○,○,○,○,○,,○,○,,,○,,,○,○,○,,,○,,,,,,○,○,○,○,,○,○,○,,○,○,○,○,,,○,,,,,,,,,,,○,,,○,,평균사용:1일이하,,5ATM,,밴드분리형,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
71,APPLE 워치 시리즈4 40mm Cellular 스테인리스 스틸 케이스,969000,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=6553062&cmpnyc=TJ418&safe_trade=4&fee_type=T&link_pcode=0001610883&package=0&setpc=0,APPLE,201809,스마트워치,iOS(WatchOS),LTE+블루투스,v5.0,,v12.0 이상,사각형,OLED,,324x394,애플S4,듀얼(2)코어,,저장 : 16GB,○,○,,○,○,,○,○,,,,○,,○,○,○,,,○,,○,,,○,○,○,○,○,,○,○,○,,○,○,,○,,,,,,,,○,○,,,,,,,,○,,평균사용:1일이하,39.8g,5ATM,전용시계줄,밴드분리형,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
72,아이디어뱅크 A3,138990,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=4399742&cmpnyc=EE128&safe_trade=4&fee_type=T&link_pcode=843323466&package=0&setpc=0,아이디어뱅크,201608,스마트워치,,블루투스,,안드로이드OS,iOS,원형,IPS,"3.0cm(1.2"")",240x204,미디어텍 MT2502A,듀얼(1)코어,램 : 128MB,저장 : 32MB,,,,○,,○,,,,,,,,,,,,,,,,,,,○,○,,○,,,,,,,,,,,,,○,,○,,,○,○,○,,○,○,,,,320mAh,,56g,,,,MSIP-CRI-IWC-SWA3 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
73,APPLE 워치 시리즈5 40mm Cellular 스페이스 블랙 스테인리스 스틸 케이스,848990,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=9705894&cmpnyc=EE128&safe_trade=4&fee_type=T&link_pcode=1744734965&package=0&setpc=0,APPLE,201910,스마트워치,iOS(WatchOS),LTE+블루투스,v5.0,,,사각형,OLED,,324x394,애플S5,,,저장 : 32GB,○,○,○,○,○,,○,○,,,○,,,○,○,○,,,○,,,,,,○,○,○,○,,○,○,○,,○,○,○,○,,,○,,,,,,,,,,,○,,,○,,평균사용:1일이하,,5ATM,,밴드분리형,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
74,APPLE 워치 시리즈3 42mm Cellular 알루미늄 케이스,414810,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=6197067&cmpnyc=TN118&safe_trade=4&fee_type=T&link_pcode=1000037241600&package=0&setpc=0,APPLE,201806,스마트워치,iOS(WatchOS),LTE+블루투스,v4.2,,v12.0 이상,사각형,OLED,,390x312,애플S3,듀얼(2)코어,램 : 768MB,저장 : 16GB,○,○,○,○,○,○,○,○,,○,,,,○,○,○,,,,,○,,,○,○,○,○,○,○,,,,,,,,,,,,○,,○,,,○,○,○,,○,○,○,,,,평균사용:18시간,34.9g,,전용시계줄,밴드분리형,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
75,삼성전자 갤럭시 워치 골프 에디션 42mm,409000,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=6488345&cmpnyc=TT213D&safe_trade=4&fee_type=N&link_pcode=4120680338&package=0&setpc=0,삼성전자,201809,스마트워치,타이젠OS,블루투스,v4.2,v5.0 이상,v9.0 이상,원형,SAMOLED,"3.0cm(1.2"")",360x360,삼성 엑시노스9110,듀얼(2)코어,램 : 768MB,저장 : 4GB,○,○,○,○,○,,○,○,,,,○,,○,○,○,○,○,,,,,○,,○,○,○,○,○,○,,○,,○,○,,○,,,,,,,,,,○,,,,,,,○,270mAh,평균사용:1일~2일,49g,5ATM,표준 20mm 시계줄,밴드분리형,R-CMM-SEC-SMR810 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
76,APPLE 워치 시리즈5 나이키+ 40mm Cellular 스페이스 그레이 알루미늄 케이스,652410,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=9706392&cmpnyc=TN118&safe_trade=4&fee_type=T&link_pcode=1000037380553&package=0&setpc=0,APPLE,201910,스마트워치,iOS(WatchOS),LTE+블루투스,v5.0,,,사각형,OLED,,324x394,애플S5,,,저장 : 32GB,○,○,○,○,○,,○,○,,,○,,,○,○,○,,,○,,,,,,○,○,○,○,,○,○,○,,○,○,○,○,,,○,,,,,,,,,,,○,,,○,,평균사용:1일이하,,5ATM,,밴드분리형,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
77,lemfo LEM X LTE,180400,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=8187472&cmpnyc=EE128&safe_trade=4&fee_type=T&link_pcode=1565243541&package=0&setpc=0,lemfo,201906,스마트워치,안드로이드OS,LTE+블루투스,v4.0,v7.1 이상,iOS,원형,,,640x590,미디어텍 MT6739,,램 : 1GB,저장 : 16GB,○,○,,○,,○,,,,,,,,○,,,,,,,,,,,○,○,○,,,○,,,,,,,,,,,,,,,,,,,○,,○,,,,900mAh,,,IP67,,,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
78,APPLE 워치 시리즈3 나이키+ 42mm Cellular 알루미늄 케이스,414810,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=6199000&cmpnyc=TN118&safe_trade=4&fee_type=T&link_pcode=1000038797937&package=0&setpc=0,APPLE,201911,스마트워치,iOS(WatchOS),LTE+블루투스,v4.2,,v12.0 이상,사각형,OLED,,390x312,애플S3,듀얼(2)코어,램 : 768MB,저장 : 16GB,○,○,○,○,○,○,○,○,,○,,,,○,○,○,,,,,○,,,○,○,○,○,○,○,,,,,,,,,,,,○,,○,,,○,○,○,,○,○,○,,,,평균사용:18시간,34.9g,,전용시계줄,밴드분리형,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
79,화웨이 워치 GT 클래식,198990,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=7588999&cmpnyc=EE128&safe_trade=4&fee_type=T&link_pcode=1741623137&package=0&setpc=0,화웨이,201810,스마트워치,기타OS,블루투스,v4.2,v4.4 이상,v9.0 이상,원형,AMOLED,"3.53cm(1.39"")",454x454,,,램 : 16MB,저장 : 128MB,,○,○,○,○,,○,○,,,○,○,,○,○,○,,,,,,,,,○,○,○,○,○,○,,,,○,,,,,,,,,,,,,,,,,,,,○,,평균사용:14일,46g,5ATM,,밴드분리형,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
80,EX16,23900,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=6265991&cmpnyc=EE128&safe_trade=4&fee_type=T&link_pcode=1442996579&package=0&setpc=0,,201807,스마트워치,기타OS,블루투스,,안드로이드OS,iOS,,FSTN,"2.84cm(1.12"")",,미디어텍 MT6261,,램 : 128MB,저장 : 128MB,,,,,,,,,,,,,,,,,,,,,,,,,○,○,○,,,,,,,,,,,,,,,,○,,,,,,○,,,,○,○,300~450mAh,평균사용:최대 8개월,,5ATM,,밴드일체형,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
81,zeblaze Thor Pro,112790,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=6265869&cmpnyc=TQB02&safe_trade=4&fee_type=T&link_pcode=1485257939&package=0&setpc=0,zeblaze,201807,스마트워치,안드로이드OS,블루투스,,안드로이드OS,iOS,원형,IPS,"3.89cm(1.53"")",320x320,미디어텍 MT6580,쿼드(4)코어,램 : 1GB,저장 : 16GB,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,○,,,,,○,500mAh,,83g,,,밴드일체형,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
82,APPLE 워치 시리즈5 에디션 44mm Cellular 화이트 세라믹 케이스,2060000,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=9706680&cmpnyc=EE715&safe_trade=4&fee_type=T&link_pcode=B825061127&package=0&setpc=0,APPLE,201912,스마트워치,iOS(WatchOS),LTE+블루투스,v5.0,,,사각형,OLED,,368x448,애플S5,,,저장 : 32GB,○,○,○,○,○,,○,○,,,○,,,○,○,○,,,○,,,,,,○,○,○,○,,○,○,○,,○,○,○,○,,,○,,,,,,,,,,,○,,,○,,평균사용:1일이하,,5ATM,,밴드분리형,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
83,아이쉐어링 A1 스마트워치 워치폰,87420,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=2208466&cmpnyc=TH201&safe_trade=4&fee_type=T&link_pcode=828416666&package=0&setpc=0,아이쉐어링,201309,스마트워치,,블루투스,,,,원형,OLED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,○,○,,○,,,,,,,,,,밴드일체형,MSIP-CRI-IWC-isharingA1 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
84,Y7,27960,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=6497660&cmpnyc=TQB02&safe_trade=4&fee_type=T&link_pcode=1498995113&package=0&setpc=0,,201810,스마트워치,기타OS,블루투스,,안드로이드OS,iOS,사각형,IPS,"3.3cm(1.3"")",,Nordic nRF52832,,램 : 64KB,,,,,,,,,,,,,,,,,,,,,,,,,,○,○,○,,○,,,,,,,,,,,,,,,,,○,,,○,,,,,○,170mAh,,,IP67,,,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
85,CF18,38800,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=6976033&cmpnyc=EE715&safe_trade=4&fee_type=T&link_pcode=B620392969&package=0&setpc=0,,201901,스마트워치,기타OS,블루투스,v4.0,v4.4 이상,v9.0 이상,원형,IPS,,240x240,Nordic nRF52832,,,,,,,○,,,,,,,,,,○,,,,,,,,,,,○,○,○,○,○,○,,,,,,,,,,○,,,○,,,,,,○,○,,,○,,120mAh,,,IP67,,밴드일체형,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
86,Withings 액티비티 스틸,66880,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=4413925&cmpnyc=TQB02&safe_trade=4&fee_type=T&link_pcode=1343696999&package=0&setpc=0,Withings,201609,스마트워치,,블루투스,,안드로이드OS,iOS,원형,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,○,○,○,○,○,,,,,,,,,,,,○,,○,,,,,,,○,○,,,,,평균사용:8개월이상,,,,,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
87,M1 GPS,70600,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=6458872&cmpnyc=TQB02&safe_trade=4&fee_type=T&link_pcode=1488912193&package=0&setpc=0,,201809,스마트워치,기타OS,블루투스,,안드로이드OS,iOS,원형,IPS,"3.3cm(1.3"")",240x240,미디어텍 MT2503A,,램 : 64MB,저장 : 128MB,,○,,,○,,○,○,,,○,,,,,,,,,,,,,,○,○,○,,,,,,,○,,,○,,,,,,○,,,,,,,,,,,,320mAh,평균사용:3일~5일,56g,IP67,,,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
88,APPLE 워치 시리즈5 에르메스 40mm Cellular 스페이스 블랙 스테인리스 스틸 케이스,1990000,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=9706428&cmpnyc=EE128&safe_trade=4&fee_type=T&link_pcode=1765367600&package=0&setpc=0,APPLE,202003,스마트워치,iOS(WatchOS),LTE+블루투스,v5.0,,,사각형,OLED,,324x394,애플S5,,,저장 : 32GB,○,○,○,○,○,,○,○,,,○,,,○,○,○,,,○,,,,,,○,○,○,○,,○,○,○,,○,○,○,○,,,○,,,,,,,,,,,○,,,○,,평균사용:1일이하,,5ATM,,밴드분리형,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
89,zeblaze Vibe 3,35300,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=6293111&cmpnyc=EE128&safe_trade=4&fee_type=T&link_pcode=1533524204&package=0&setpc=0,zeblaze,201807,스마트워치,,블루투스,,안드로이드OS,iOS,원형,,"2.7cm(1.1"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,○,,,,,,,,,,,,,,,,○,,,,,,○,,,,○,○,610mAh,,78g,5ATM,,밴드일체형,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
90,삼성전자 기어2 네오,209300,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=2476918&cmpnyc=TH201&safe_trade=4&fee_type=T&link_pcode=1297243377&package=0&setpc=0,삼성전자,201402,스마트워치,타이젠OS,블루투스,,,,사각형,OLED,"4.1cm(1.6"")",320x320,,듀얼(2)코어,램 : 512MB,저장 : 4GB,,○,,○,,○,○,,,,,,,,,,,,,,,,,,○,○,○,○,○,,,,,,,,,,,,○,,○,,,○,○,○,,,○,,,,300mAh,평균사용:2일(300mAh),55g,,표준 22mm 시계줄,밴드분리형,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
91,GT103,36380,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=8138275&cmpnyc=TQB02&safe_trade=4&fee_type=T&link_pcode=1583682301&package=0&setpc=0,,201906,스마트워치,기타OS,블루투스,v4.0,v4.4 이상,v8.5 이상,사각형,OLED,"3.3cm(1.3"")",240x240,,,,,,,,,○,○,,,,,,,,○,,,,,,,,,,,○,○,○,,○,,,,,,,,,,,,,,,,,,,,,○,○,,,○,170mAh,평균사용:8일,36.5g,IP67,,,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
92,핏빗 Ionic,348460,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=5438394&cmpnyc=TP90D&safe_trade=4&fee_type=T&link_pcode=2069462031&package=0&setpc=0,핏빗,201708,스마트워치,기타OS,블루투스,,안드로이드OS,iOS,사각형,LCD,"3.6cm(1.4"")",348x250,,,,,,○,○,○,○,○,○,,,,,,,,,,,,,,,,,,○,○,○,,○,,,,,,,,,,,,○,,○,,,○,,,,,○,○,,,,평균사용:4일,,,,밴드분리형,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
93,APPLE 워치 시리즈5 나이키+ 44mm Cellular 실버 알루미늄 케이스,692010,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=9706338&cmpnyc=TN118&safe_trade=4&fee_type=T&link_pcode=1000037380546&package=0&setpc=0,APPLE,201910,스마트워치,iOS(WatchOS),LTE+블루투스,v5.0,,,사각형,OLED,,368x448,애플S5,,,저장 : 32GB,○,○,○,○,○,,○,○,,,○,,,○,○,○,,,○,,,,,,○,○,○,○,,○,○,○,,○,○,○,○,,,○,,,,,,,,,,,○,,,○,,평균사용:1일이하,,5ATM,,밴드분리형,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
94,APPLE 워치 시리즈5 나이키+ 40mm Cellular 실버 알루미늄 케이스,652410,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=9706347&cmpnyc=TN118&safe_trade=4&fee_type=T&link_pcode=1000037380542&package=0&setpc=0,APPLE,201910,스마트워치,iOS(WatchOS),LTE+블루투스,v5.0,,,사각형,OLED,,324x394,애플S5,,,저장 : 32GB,○,○,○,○,○,,○,○,,,○,,,○,○,○,,,○,,,,,,○,○,○,○,,○,○,○,,○,○,○,○,,,○,,,,,,,,,,,○,,,○,,평균사용:1일이하,,5ATM,,밴드분리형,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
95,Z30,38510,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=8201338&cmpnyc=TQB02&safe_trade=4&fee_type=T&link_pcode=1576111659&package=0&setpc=0,,201906,스마트워치,기타OS,,,v4.4 이상,v8.2 이상,사각형,,"3.3cm(1.3"")",,Nordic nRF52832,,,,,,,○,,○,,,,,,,,○,,○,,,,,○,,,,○,○,○,,○,○,,,,,,,,,,,,,○,,,,,,,○,○,,,○,145mAh,평균사용:5일~7일,40g,IP67,,,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
96,오키텔 A29,179000,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=3653377&cmpnyc=EE128&safe_trade=4&fee_type=T&link_pcode=741987656&package=0&setpc=0,오키텔,201512,스마트워치,,블루투스,,안드로이드OS,iOS,원형,IPS,"3.0cm(1.2"")",240x240,미디어텍 MT2502A,,램 : 64MB,저장 : 128MB,,,,○,○,○,○,,,,,,,,,,,,,,,,,,○,○,○,○,○,,,,,,,,,,,,○,,○,,,○,○,○,,○,○,,,,320mAh,평균사용:2일,,,,,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
97,샤오미 화미 어메이즈핏 스트라토스,136840,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=6072652&cmpnyc=TN920&safe_trade=4&fee_type=T&link_pcode=1825857734&package=0&setpc=0,샤오미,201804,스마트워치,기타OS,블루투스,v4.0,v4.4 이상,v9.0 이상,,LCD,"3.4cm(1.34"")",320x300,,듀얼(2)코어,램 : 512MB,저장 : 4GB,○,○,,○,○,,○,○,,,○,,,○,○,○,○,,○,,○,,,,○,○,○,,○,○,,,,,,,○,,,,,,,,,○,,,,,○,,,○,290mAh,평균사용:5일,,5ATM,,밴드분리형,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
98,화웨이 워치 GT 2 46mm 스포츠,392750,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=9576360&cmpnyc=EE715&safe_trade=4&fee_type=T&link_pcode=B775387026&package=0&setpc=0,화웨이,202002,스마트워치,기타OS,블루투스,v5.1,v4.4 이상,v9.0 이상,원형,OLED,"3.53cm(1.39"")",454x454,,,,저장 : 4GB,,○,○,○,○,,○,○,,,○,,,○,○,,,,,,○,,,,○,○,○,○,○,○,,,,,,,○,,,,,○,○,○,,○,,,,,○,,○,○,455mAh,평균사용:7일~15일,41g,5ATM,,밴드분리형,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
99,Razer Nabu Watch,128690,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=4071905&cmpnyc=EE715&safe_trade=4&fee_type=T&link_pcode=B762420824&package=0&setpc=0,Razer,201605,스마트워치,기타OS,블루투스,,안드로이드OS,iOS,원형,OLED,,128x16,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,○,○,○,○,○,,,,,,,,,,,,○,,○,,,,,,,○,,,○,,,평균사용:7일,,5ATM,,밴드일체형,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
100,런타스틱 모멘트 베이직,137410,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=3952283&cmpnyc=ED910&safe_trade=4&fee_type=T&link_pcode=4844248920&package=0&setpc=0,런타스틱,201604,스마트워치,,블루투스,,안드로이드OS,iOS,,,"4.1cm(1.6"")",,,,,,,○,,,,○,,,,,,,,,,,,,,,,,,,○,○,○,○,○,,,,,,,,,,,,○,,○,,,,,,,○,○,,,,,평균사용:6개월,262g,,,,MSIP-CRM-KRi-DP166 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
101,zeblaze Vibe,35480,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=6265787&cmpnyc=EE715&safe_trade=4&fee_type=T&link_pcode=B472540581&package=0&setpc=0,zeblaze,201807,스마트워치,기타OS,블루투스,,안드로이드OS,iOS,원형,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,○,○,,,,,,,,,,,,,,,,,,,,,,,,,,○,○,,,,5ATM,,,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
