com.samsung.health.floors_climbed,1140029,5
end_time,floor,pkg_name,custom,update_time,start_time,datauuid,time_offset,create_time,deviceuuid
2020. 07. 15. 12:27:55,1.000000,com.sec.android.app.shealth,,2020. 07. 15. 12:28:29,2020. 07. 15. 12:27:20,b9092e6a-3e69-8fc5-ceff-012f7dead722,32400000,2020. 07. 15. 12:28:29,ITeeWLY/e8,
2020. 07. 15. 13:39:41,1.000000,com.sec.android.app.shealth,,2020. 07. 15. 13:48:47,2020. 07. 15. 13:39:19,17aee3e7-ba1b-6028-295d-c759ded79ba1,32400000,2020. 07. 15. 13:48:47,ITeeWLY/e8,
2020. 07. 15. 18:41:09,1.000000,com.sec.android.app.shealth,,2020. 07. 15. 18:42:17,2020. 07. 15. 18:40:58,91420629-d074-cfd1-ce67-ba3f06dcb1a2,32400000,2020. 07. 15. 18:42:17,ITeeWLY/e8,
2020. 07. 15. 19:02:49,7.000000,com.sec.android.app.shealth,,2020. 07. 15. 19:13:03,2020. 07. 15. 19:00:44,6eebd725-0ec9-9e0f-5d10-907189c0b300,32400000,2020. 07. 15. 19:01:38,ITeeWLY/e8,
2020. 07. 15. 19:04:57,1.000000,com.sec.android.app.shealth,,2020. 07. 15. 19:13:03,2020. 07. 15. 19:04:39,e3ebd328-20fd-f0e7-044e-e8e21e0f010e,32400000,2020. 07. 15. 19:13:03,ITeeWLY/e8,
2020. 07. 15. 21:14:29,1.000000,com.sec.android.app.shealth,,2020. 07. 15. 21:16:44,2020. 07. 15. 21:13:58,400325a6-21da-0631-bbfa-a322bb79bea7,32400000,2020. 07. 15. 21:16:44,ITeeWLY/e8,
2020. 07. 15. 21:46:39,3.000000,com.sec.android.app.shealth,,2020. 07. 15. 21:54:48,2020. 07. 15. 21:45:00,993edb29-2178-61f9-8872-9f73543078ac,32400000,2020. 07. 15. 21:54:48,ITeeWLY/e8,
2020. 07. 16. 08:51:46,11.000000,com.sec.android.app.shealth,,2020. 07. 16. 08:53:28,2020. 07. 16. 08:46:01,03d4cfee-c752-993a-80fe-13dabd851392,32400000,2020. 07. 16. 08:46:46,ITeeWLY/e8,
2020. 07. 16. 12:42:56,1.000000,com.sec.android.app.shealth,,2020. 07. 16. 12:43:08,2020. 07. 16. 12:42:26,2f9b30d3-9e72-dbc1-24b6-9c246201938f,32400000,2020. 07. 16. 12:43:07,ITeeWLY/e8,
2020. 07. 16. 18:44:16,1.000000,com.sec.android.app.shealth,,2020. 07. 16. 18:45:03,2020. 07. 16. 18:44:02,034a3df8-e120-6ebe-fd4a-832e2e5ab6fd,32400000,2020. 07. 16. 18:45:03,ITeeWLY/e8,
2020. 07. 17. 09:00:23,8.000000,com.sec.android.app.shealth,,2020. 07. 17. 09:00:30,2020. 07. 17. 08:56:37,1356c2a6-540f-0508-d3b3-d4d476438dfa,32400000,2020. 07. 17. 09:00:30,ITeeWLY/e8,
2020. 07. 17. 09:01:57,1.000000,com.sec.android.app.shealth,,2020. 07. 17. 09:02:57,2020. 07. 17. 09:01:37,dc4a63c5-cc97-b1c1-0bb4-3f95fa306215,32400000,2020. 07. 17. 09:02:57,ITeeWLY/e8,

