com.samsung.health.step_count,1140029,6
speed,pkg_name,count,sample_position_type,time_offset,start_time,calorie,deviceuuid,custom,end_time,datauuid,distance,create_time,update_time
1.347038,com.sec.android.app.shealth,14,230002,32400000,2020. 07. 06. 10:04:00,0.660000,ITeeWLY/e8,,2020. 07. 06. 10:04:59,7a2350b7-ef0a-0a44-5982-4ddae148f92f,10.740000,2020. 07. 06. 10:04:49,2020. 07. 06. 10:05:31,
1.527778,com.sec.android.app.shealth,42,230002,32400000,2020. 07. 06. 10:08:00,2.040000,ITeeWLY/e8,,2020. 07. 06. 10:08:59,29640787-2abc-c509-8626-9e5e70f77d29,33.420000,2020. 07. 06. 10:08:54,2020. 07. 06. 10:08:54,
1.361111,com.sec.android.app.shealth,60,230002,32400000,2020. 07. 06. 10:09:00,2.840000,ITeeWLY/e8,,2020. 07. 06. 10:09:59,3a19f424-1356-4a0c-c098-20da855acbe0,45.800000,2020. 07. 06. 10:10:15,2020. 07. 06. 10:10:15,
1.409973,com.sec.android.app.shealth,25,230002,32400000,2020. 07. 06. 10:10:00,1.250000,ITeeWLY/e8,,2020. 07. 06. 10:10:59,7a9e56b6-3376-2003-44de-dc5e421b96e2,19.430000,2020. 07. 06. 10:10:15,2020. 07. 06. 10:10:18,
1.492987,com.sec.android.app.shealth,38,230002,32400000,2020. 07. 06. 10:56:00,1.800000,ITeeWLY/e8,,2020. 07. 06. 10:56:59,2d8361a9-b3f5-6186-9718-49dfc470727a,29.680000,2020. 07. 06. 10:56:11,2020. 07. 06. 10:57:07,
1.436937,com.sec.android.app.shealth,15,230002,32400000,2020. 07. 06. 10:57:00,0.720000,ITeeWLY/e8,,2020. 07. 06. 10:57:59,90bae4ef-a319-c6f0-dff0-bde49926fa92,11.710000,2020. 07. 06. 10:57:07,2020. 07. 06. 10:57:10,
0.890864,com.sec.android.app.shealth,36,,32400000,2020. 07. 06. 11:58:00,1.838326,sZOKHxE5f1,,2020. 07. 06. 11:59:00,15940042-0000-0000-F100-940042800000,26.136389,2020. 07. 06. 12:37:46,2020. 07. 06. 12:37:46,
0.473396,com.sec.android.app.shealth,34,,32400000,2020. 07. 06. 11:59:00,1.908454,sZOKHxE5f1,,2020. 07. 06. 12:00:00,15940043-0000-0000-F100-940043400000,20.317942,2020. 07. 06. 12:37:46,2020. 07. 06. 12:37:46,
0.441023,com.sec.android.app.shealth,35,,32400000,2020. 07. 06. 12:00:00,2.334508,sZOKHxE5f1,,2020. 07. 06. 12:01:00,15940044-0000-0000-F100-940044000000,23.568401,2020. 07. 06. 12:37:46,2020. 07. 06. 12:37:46,
0.876185,com.sec.android.app.shealth,72,,32400000,2020. 07. 06. 12:01:00,3.765560,sZOKHxE5f1,,2020. 07. 06. 12:02:00,15940044-0000-0000-F100-940044600000,53.058971,2020. 07. 06. 12:37:46,2020. 07. 06. 12:37:46,
1.187877,com.sec.android.app.shealth,105,,32400000,2020. 07. 06. 12:02:00,4.569725,sZOKHxE5f1,,2020. 07. 06. 12:03:00,15940045-0000-0000-F100-940045200000,71.933777,2020. 07. 06. 12:37:46,2020. 07. 06. 12:37:46,
1.433072,com.sec.android.app.shealth,114,,32400000,2020. 07. 06. 12:03:00,5.115623,sZOKHxE5f1,,2020. 07. 06. 12:04:00,15940045-0000-0000-F100-940045800000,85.839760,2020. 07. 06. 12:37:46,2020. 07. 06. 12:37:46,
1.251697,com.sec.android.app.shealth,109,,32400000,2020. 07. 06. 12:04:00,4.734382,sZOKHxE5f1,,2020. 07. 06. 12:05:00,15940046-0000-0000-F100-940046400000,75.152245,2020. 07. 06. 12:37:46,2020. 07. 06. 12:37:46,
1.230150,com.sec.android.app.shealth,82,,32400000,2020. 07. 06. 12:05:00,3.587072,sZOKHxE5f1,,2020. 07. 06. 12:06:00,15940047-0000-0000-F100-940047000000,56.710617,2020. 07. 06. 12:37:46,2020. 07. 06. 12:37:46,
0.843796,com.sec.android.app.shealth,16,,32400000,2020. 07. 06. 12:06:00,0.797766,sZOKHxE5f1,,2020. 07. 06. 12:07:00,15940047-0000-0000-F100-940047600000,11.338511,2020. 07. 06. 12:37:46,2020. 07. 06. 12:37:46,
0.677398,com.sec.android.app.shealth,32,,32400000,2020. 07. 06. 12:07:00,1.409498,sZOKHxE5f1,,2020. 07. 06. 12:08:00,15940048-0000-0000-F100-940048200000,17.781696,2020. 07. 06. 12:37:46,2020. 07. 06. 12:37:46,
0.888817,com.sec.android.app.shealth,83,,32400000,2020. 07. 06. 12:17:00,4.051361,sZOKHxE5f1,,2020. 07. 06. 12:18:00,15940054-0000-0000-F100-940054200000,57.057648,2020. 07. 06. 12:37:46,2020. 07. 06. 12:37:46,
0.722005,com.sec.android.app.shealth,63,,32400000,2020. 07. 06. 12:18:00,3.255515,sZOKHxE5f1,,2020. 07. 06. 12:19:00,15940054-0000-0000-F100-940054800000,42.351559,2020. 07. 06. 12:37:46,2020. 07. 06. 12:37:46,
1.079600,com.sec.android.app.shealth,85,,32400000,2020. 07. 06. 12:19:00,4.290371,sZOKHxE5f1,,2020. 07. 06. 12:20:00,15940055-0000-0000-F100-940055400000,64.988052,2020. 07. 06. 12:37:46,2020. 07. 06. 12:37:46,
1.338870,com.sec.android.app.shealth,106,,32400000,2020. 07. 06. 12:20:00,4.876632,sZOKHxE5f1,,2020. 07. 06. 12:21:00,15940056-0000-0000-F100-940056000000,80.034851,2020. 07. 06. 12:37:46,2020. 07. 06. 12:37:46,
