com.samsung.shealth.tracker.pedometer_day_summary,1140029,5
day_time,speed,update_time,pkg_name,source_info,source_package_name,walk_step_count,binning_data,active_time,achievement,healthy_step,calorie,recommendation,datauuid,deviceuuid,distance,create_time,run_step_count,step_count
1594684800000,1.682018,2020. 07. 14. 23:36:46,com.sec.android.app.shealth,,com.sec.android.app.shealth,9711,b1091851-31a0-45a5-99df-9a257fbd1c44.binning_data,6983000,b1091851-31a0-45a5-99df-9a257fbd1c44.achievement,0,443.922668,6000,b1091851-31a0-45a5-99df-9a257fbd1c44,sZOKHxE5f1,7100.677734,2020. 07. 14. 14:43:37,0,9711,
1594684800000,1.262449,2020. 07. 14. 23:36:49,com.sec.android.app.shealth,,com.sec.android.app.shealth,11427,c70b051d-e2f5-4e8b-9b53-932dc9bc387b.binning_data,6783868,c70b051d-e2f5-4e8b-9b53-932dc9bc387b.achievement,0,548.878845,6000,c70b051d-e2f5-4e8b-9b53-932dc9bc387b,VfS0qUERdZ,8564.288086,2020. 07. 14. 14:43:38,7,11434,
1594684800000,2.416667,2020. 07. 14. 23:36:49,com.sec.android.app.shealth,,com.sec.android.app.shealth,10803,843e8714-11c0-4cc7-98e2-ad86e2067834.binning_data,5456594,843e8714-11c0-4cc7-98e2-ad86e2067834.achievement,0,542.869995,6000,843e8714-11c0-4cc7-98e2-ad86e2067834,ITeeWLY/e8,8175.149902,2020. 07. 14. 14:43:53,7,10810,
1594771200000,1.392134,2020. 07. 15. 23:38:29,com.sec.android.app.shealth,,com.sec.android.app.shealth,17093,fd2997c9-9439-4b6b-b630-815dd3a229dc.binning_data,9551945,fd2997c9-9439-4b6b-b630-815dd3a229dc.achievement,0,853.831543,6000,fd2997c9-9439-4b6b-b630-815dd3a229dc,VfS0qUERdZ,13297.587891,2020. 07. 15. 14:49:48,300,17393,
1594771200000,1.551578,2020. 07. 15. 23:38:16,com.sec.android.app.shealth,,com.sec.android.app.shealth,9602,f0e88e26-fed1-4ed1-a460-226bb53083e3.binning_data,6800000,f0e88e26-fed1-4ed1-a460-226bb53083e3.achievement,0,431.627563,6000,f0e88e26-fed1-4ed1-a460-226bb53083e3,sZOKHxE5f1,6897.323730,2020. 07. 15. 14:49:51,0,9602,
1594771200000,3.555556,2020. 07. 15. 23:38:29,com.sec.android.app.shealth,,com.sec.android.app.shealth,16433,97095725-60fb-4082-882e-932c6fe70e35.binning_data,8529837,97095725-60fb-4082-882e-932c6fe70e35.achievement,0,846.049988,6000,97095725-60fb-4082-882e-932c6fe70e35,ITeeWLY/e8,12915.101562,2020. 07. 15. 14:50:33,340,16773,
1594857600000,1.621286,2020. 07. 17. 11:29:29,com.sec.android.app.shealth,,com.sec.android.app.shealth,5168,b016eb54-1a10-4567-93e9-ffcfde2099b8.binning_data,3492000,b016eb54-1a10-4567-93e9-ffcfde2099b8.achievement,0,224.275864,6000,b016eb54-1a10-4567-93e9-ffcfde2099b8,sZOKHxE5f1,3608.248047,2020. 07. 16. 10:02:03,0,5168,
1594857600000,1.283512,2020. 07. 17. 11:29:47,com.sec.android.app.shealth,,com.sec.android.app.shealth,6652,3325fa9e-748f-4de6-8d3d-dddf6ddf0b40.binning_data,3749897,3325fa9e-748f-4de6-8d3d-dddf6ddf0b40.achievement,0,319.177826,6000,3325fa9e-748f-4de6-8d3d-dddf6ddf0b40,VfS0qUERdZ,4813.038574,2020. 07. 16. 10:02:03,33,6685,
1594857600000,3.422137,2020. 07. 17. 11:29:47,com.sec.android.app.shealth,,com.sec.android.app.shealth,6272,8d77d216-669e-48e1-8847-db69b3d9f363.binning_data,3181040,8d77d216-669e-48e1-8847-db69b3d9f363.achievement,0,317.040009,6000,8d77d216-669e-48e1-8847-db69b3d9f363,ITeeWLY/e8,4725.320801,2020. 07. 16. 10:02:31,33,6305,
1594944000000,1.431502,2020. 07. 17. 14:12:57,com.sec.android.app.shealth,,com.sec.android.app.shealth,2768,157bc57b-30d8-4c84-b914-bc09b6339095.binning_data,1996000,157bc57b-30d8-4c84-b914-bc09b6339095.achievement,0,124.578751,6000,157bc57b-30d8-4c84-b914-bc09b6339095,sZOKHxE5f1,1970.316895,2020. 07. 17. 11:29:29,0,2768,
1594944000000,1.301666,2020. 07. 17. 15:38:54,com.sec.android.app.shealth,,com.sec.android.app.shealth,4217,8589da81-f4e5-4e38-b2d7-1504ea7ebd66.binning_data,2450294,8589da81-f4e5-4e38-b2d7-1504ea7ebd66.achievement,0,204.908661,6000,8589da81-f4e5-4e38-b2d7-1504ea7ebd66,VfS0qUERdZ,3189.465332,2020. 07. 17. 11:29:29,0,4217,
1594944000000,5.083334,2020. 07. 17. 15:38:54,com.sec.android.app.shealth,,com.sec.android.app.shealth,4110,14c92e51-f44b-47de-aa9c-52db53158866.binning_data,2174970,14c92e51-f44b-47de-aa9c-52db53158866.achievement,0,208.690002,6000,14c92e51-f44b-47de-aa9c-52db53158866,ITeeWLY/e8,3131.469971,2020. 07. 17. 11:29:47,0,4110,

