com.samsung.shealth.stress,1140029,7
update_time,pkg_name,time_offset,binning_data,max,start_time,comment,tag_id,deviceuuid,custom,end_time,datauuid,create_time,score,algorithm,min
2020. 07. 09. 16:06:42,com.sec.android.app.shealth,32400000,ec9ac85c-5136-43f5-f309-e689e1937123.binning_data,99.000000,2020. 07. 09. 15:00:00,,10011,ITeeWLY/e8,,2020. 07. 09. 15:59:59,ec9ac85c-5136-43f5-f309-e689e1937123,2020. 07. 09. 16:06:42,16.000000,1,0.000000,
2020. 07. 09. 17:10:42,com.sec.android.app.shealth,32400000,18d6a9b2-ac1d-da0a-c307-5f52df482e8b.binning_data,98.000000,2020. 07. 09. 16:00:00,,10011,ITeeWLY/e8,,2020. 07. 09. 16:59:59,18d6a9b2-ac1d-da0a-c307-5f52df482e8b,2020. 07. 09. 17:10:42,21.000000,1,0.000000,
2020. 07. 09. 18:05:38,com.sec.android.app.shealth,32400000,2e26c808-6044-e3c2-cd8f-d456ebdbf434.binning_data,99.000000,2020. 07. 09. 17:00:00,,10011,ITeeWLY/e8,,2020. 07. 09. 17:59:59,2e26c808-6044-e3c2-cd8f-d456ebdbf434,2020. 07. 09. 18:05:38,42.000000,1,0.000000,
2020. 07. 10. 08:40:46,com.sec.android.app.shealth,32400000,43bb88d6-9470-749d-6c34-65dbbe445a90.binning_data,100.000000,2020. 07. 09. 18:00:00,,10011,ITeeWLY/e8,,2020. 07. 09. 18:59:59,43bb88d6-9470-749d-6c34-65dbbe445a90,2020. 07. 10. 08:40:46,4.000000,1,0.000000,
2020. 07. 10. 09:07:49,com.sec.android.app.shealth,32400000,b2f0b089-fa70-5f2f-04ca-d4b63e3cd564.binning_data,97.000000,2020. 07. 10. 08:00:00,,10011,ITeeWLY/e8,,2020. 07. 10. 08:59:59,b2f0b089-fa70-5f2f-04ca-d4b63e3cd564,2020. 07. 10. 09:07:49,29.000000,1,0.000000,
2020. 07. 10. 10:03:49,com.sec.android.app.shealth,32400000,87691737-3a1c-ca8a-7901-5f07fb3830a4.binning_data,94.000000,2020. 07. 10. 09:00:00,,10011,ITeeWLY/e8,,2020. 07. 10. 09:59:59,87691737-3a1c-ca8a-7901-5f07fb3830a4,2020. 07. 10. 10:03:49,6.000000,1,0.000000,
2020. 07. 10. 11:09:46,com.sec.android.app.shealth,32400000,03992acc-f65b-1320-18cb-0643785bae55.binning_data,96.000000,2020. 07. 10. 10:00:00,,10011,ITeeWLY/e8,,2020. 07. 10. 10:59:59,03992acc-f65b-1320-18cb-0643785bae55,2020. 07. 10. 11:09:46,5.000000,1,0.000000,
2020. 07. 10. 12:05:02,com.sec.android.app.shealth,32400000,5416d16c-d886-d5a8-6ee0-f35259918b5c.binning_data,98.000000,2020. 07. 10. 11:00:00,,10011,ITeeWLY/e8,,2020. 07. 10. 11:59:59,5416d16c-d886-d5a8-6ee0-f35259918b5c,2020. 07. 10. 12:05:02,19.000000,1,0.000000,
2020. 07. 10. 13:05:48,com.sec.android.app.shealth,32400000,3d3716d4-9769-cf50-77c2-7542676b0953.binning_data,100.000000,2020. 07. 10. 12:00:00,,10011,ITeeWLY/e8,,2020. 07. 10. 12:59:59,3d3716d4-9769-cf50-77c2-7542676b0953,2020. 07. 10. 13:05:48,48.000000,1,0.000000,
2020. 07. 10. 14:08:49,com.sec.android.app.shealth,32400000,be9f6e76-8754-d33c-b4fb-a55cd80cb10a.binning_data,100.000000,2020. 07. 10. 13:00:00,,10011,ITeeWLY/e8,,2020. 07. 10. 13:59:59,be9f6e76-8754-d33c-b4fb-a55cd80cb10a,2020. 07. 10. 14:08:49,37.000000,1,0.000000,
2020. 07. 10. 15:01:33,com.sec.android.app.shealth,32400000,1b1d7c20-f238-6890-606a-69235579bec8.binning_data,98.000000,2020. 07. 10. 14:00:00,,10011,ITeeWLY/e8,,2020. 07. 10. 14:59:59,1b1d7c20-f238-6890-606a-69235579bec8,2020. 07. 10. 15:01:33,22.000000,1,0.000000,
2020. 07. 10. 16:06:26,com.sec.android.app.shealth,32400000,aad391b4-1a65-b3b7-7a86-5f9dd60c0441.binning_data,99.000000,2020. 07. 10. 15:00:00,,10011,ITeeWLY/e8,,2020. 07. 10. 15:59:59,aad391b4-1a65-b3b7-7a86-5f9dd60c0441,2020. 07. 10. 16:06:26,10.000000,1,0.000000,
2020. 07. 10. 17:01:34,com.sec.android.app.shealth,32400000,94c64547-32c5-9c71-fd70-bbafe723d447.binning_data,98.000000,2020. 07. 10. 16:00:00,,10011,ITeeWLY/e8,,2020. 07. 10. 16:59:59,94c64547-32c5-9c71-fd70-bbafe723d447,2020. 07. 10. 17:01:34,16.000000,1,0.000000,
2020. 07. 10. 18:05:41,com.sec.android.app.shealth,32400000,a27edaee-6001-b5a7-4242-4b0693415205.binning_data,95.000000,2020. 07. 10. 17:00:00,,10011,ITeeWLY/e8,,2020. 07. 10. 17:59:59,a27edaee-6001-b5a7-4242-4b0693415205,2020. 07. 10. 18:05:41,12.000000,1,0.000000,
2020. 07. 10. 19:07:13,com.sec.android.app.shealth,32400000,797139f8-10e7-120e-eda3-49e6ae10f96e.binning_data,100.000000,2020. 07. 10. 18:00:00,,10011,ITeeWLY/e8,,2020. 07. 10. 18:59:59,797139f8-10e7-120e-eda3-49e6ae10f96e,2020. 07. 10. 19:07:13,38.000000,1,0.000000,
2020. 07. 10. 20:09:13,com.sec.android.app.shealth,32400000,dc69ed27-8c95-5a03-bfdf-325fc0ccd134.binning_data,100.000000,2020. 07. 10. 19:00:00,,10011,ITeeWLY/e8,,2020. 07. 10. 19:59:59,dc69ed27-8c95-5a03-bfdf-325fc0ccd134,2020. 07. 10. 20:09:13,80.000000,1,0.000000,
2020. 07. 10. 21:01:25,com.sec.android.app.shealth,32400000,c8c89f14-0855-45ea-6519-6622b05d67da.binning_data,100.000000,2020. 07. 10. 20:00:00,,10011,ITeeWLY/e8,,2020. 07. 10. 20:59:59,c8c89f14-0855-45ea-6519-6622b05d67da,2020. 07. 10. 21:01:25,66.000000,1,1.000000,
2020. 07. 10. 22:01:15,com.sec.android.app.shealth,32400000,0dd8aacb-62a1-b4f3-d032-0867e7109d32.binning_data,100.000000,2020. 07. 10. 21:00:00,,10011,ITeeWLY/e8,,2020. 07. 10. 21:59:59,0dd8aacb-62a1-b4f3-d032-0867e7109d32,2020. 07. 10. 22:01:15,48.000000,1,0.000000,
2020. 07. 10. 23:04:24,com.sec.android.app.shealth,32400000,4703a5fb-f985-e7d7-1647-6f7fcf0ad9c5.binning_data,100.000000,2020. 07. 10. 22:00:00,,10011,ITeeWLY/e8,,2020. 07. 10. 22:59:59,4703a5fb-f985-e7d7-1647-6f7fcf0ad9c5,2020. 07. 10. 23:04:24,61.000000,1,1.000000,
2020. 07. 11. 13:46:22,com.sec.android.app.shealth,32400000,908cbcab-7edc-f9d0-8ecc-2832ca9055c2.binning_data,68.000000,2020. 07. 10. 23:00:00,,10011,ITeeWLY/e8,,2020. 07. 10. 23:59:59,908cbcab-7edc-f9d0-8ecc-2832ca9055c2,2020. 07. 11. 13:46:22,64.000000,1,61.000000,
